sample,time_s,sensor,accel_x_g,accel_y_g,accel_z_g,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_dps,gyro_y_dps,gyro_z_dps,gyro_x_radps,gyro_y_radps,gyro_z_radps,roll_deg,pitch_deg,yaw_deg,accel_roll_deg,accel_pitch_deg,temp_c,diag_stat,prod_id
0,0.0005902059997424658,adis16470,0.065,0.04125,1.025,0.63743225,0.4045243125,10.051816249999998,11.788,-15.124,-2.3450000000000006,0.20573941222509157,-0.2639635960716224,-0.04092797095926704,2.3045621632201754,-3.625605216945036,0.0,2.3045621632201754,-3.625605216945036,24.3,0x0000,0x4056
1,0.03554789800000435,adis16470,0.06,-0.0575,1.02,0.5883989999999999,-0.563882375,10.002782999999999,12.988,-4.924,11.055,0.22668336324902352,-0.0859400123682008,0.19294614880797312,2.638865230382475,-3.788995142685148,0.3864349650126314,-3.2264942438045074,-3.361136545254334,24.3,0x0000,0x4056
2,0.07040604899975733,adis16470,0.07,0.01,1.13125,0.6864655000000001,0.0980665,11.093772812500001,22.888,-11.624,13.655,0.3994709591964622,-0.2028770722518209,0.2383247093598257,3.3780586902041088,-4.181099065318451,0.8624015239480104,0.5064688370090404,-3.540721572982473,24.3,0x0000,0x4056
3,0.10520762399983141,adis16470,0.10125,0.0475,1.07,0.9929233125,0.465815875,10.4931155,9.388,-4.324000000000001,0.35499999999999965,0.16385151017722765,-0.07546803685623482,0.006195918844579863,3.681515695523059,-4.35295476836026,0.8747560301781118,2.541835378908245,-5.400297282172405,24.3,0x0000,0x4056
4,0.14003323599990836,adis16470,0.11750000000000001,0.05,0.95625,1.152281375,0.4903325,9.3776090625,2.7880000000000003,-0.12399999999999989,5.355,0.04865977954560191,-0.002164208272472967,0.09346238144429636,3.762899853502427,-4.410041461286484,1.0612469896581274,2.993132005979067,-6.99568921489539,24.3,0x0000,0x4056
5,0.17485810899961507,adis16470,0.05375,0.058750000000000004,0.9575,0.5271074375,0.5761406875,9.389867375,28.688000000000002,1.2760000000000002,-3.2450000000000006,0.5007000558121333,0.022270401255447648,-0.056635934227216,4.736939377739673,-4.342431870016113,0.9482402800190447,3.511135596898154,-3.2069521946782626,24.3,0x0000,0x4056
6,0.20967607299962765,adis16470,0.0625,0.0375,0.9875,0.612915625,0.367749375,9.684066875,-0.41200000000000003,5.0760000000000005,-0.24500000000000044,-0.007190756518216638,0.08859291283123218,-0.004276056667386115,4.671637393539184,-4.154759905252441,0.9397098923140105,2.174744114610053,-3.6188832299832407,24.6,0x0000,0x4056
7,0.24449640799957706,adis16470,0.08750000000000001,0.0275,1.03,0.858081875,0.269682875,10.100849499999999,12.688,13.076000000000002,1.4549999999999996,0.22144737549304055,0.22821925299077858,0.02539454061651749,5.041756154977159,-3.7225402955602958,0.9903734259038445,1.5293783553328129,-4.853980036324093,24.5,0x0000,0x4056
8,0.27926798199996483,adis16470,0.07,0.0225,0.9725,0.6864655000000001,0.220649625,9.536967125,-5.812,6.5760000000000005,-0.04500000000000037,-0.10143853612591044,0.11477285161114711,-0.0007853981633974548,4.7693779484302015,-3.506323172381074,0.9888087050738474,1.3253728439221797,-4.115919797153613,24.1,0x0000,0x4056
9,0.31410190899987356,adis16470,0.043750000000000004,0.0,1.01375,0.4290409375,0.0,9.941491437499998,-10.812000000000001,-15.424000000000001,2.7549999999999994,-0.18870499872562693,-0.2691995838276054,0.04808382089244377,4.304895513489186,-4.012156980206869,1.0847769398492662,0.0,-2.471157445475915,24.3,0x0000,0x4056
10,0.3489203319995795,adis16470,0.05625,0.00625,1.03375,0.5516240625,0.0612915625,10.1376244375,5.388000000000001,-0.42400000000000015,3.4549999999999996,0.09403834009745449,-0.00740019602845596,0.06030112565640408,4.409574509372844,-4.008672290572201,1.205074076518981,0.34640315240587327,-3.114538037851209,24.5,0x0000,0x4056
11,0.38374960599958285,adis16470,0.08,0.0325,1.00625,0.784532,0.318716125,9.8679415625,4.388,-1.0239999999999998,0.35499999999999965,0.07658504757751118,-0.017872171540421932,0.006195918844579863,4.508155260113662,-4.05431614240821,1.217438462754046,1.8499038402903596,-4.543272083131461,24.400000000000002,0x0000,0x4056
12,0.4185903259999577,adis16470,0.07375,0.00875,1.01375,0.7232404374999999,0.08580818750000001,9.941491437499998,6.688000000000001,0.4760000000000002,0.7549999999999996,0.11672762037338077,0.008307767239493013,0.01317723585255718,4.656238201377144,-4.040192555206159,1.2437433316840336,0.4945258904611815,-4.160765607369256,24.3,0x0000,0x4056
13,0.4534026369997264,adis16470,0.08125,0.02125,0.9925,0.7967903125,0.2083913125,9.733100125,3.188,7.676,0.45499999999999974,0.05564109655357923,0.13397147338308474,0.007941248096574195,4.696405667615157,-3.791094741218351,1.2595828235340534,1.2265484344309554,-4.678956872512186,24.3,0x0000,0x4056
14,0.48822250399962286,adis16470,0.10375000000000001,0.06,1.0525,1.0174399375,0.5883989999999999,10.321499124999999,8.288,6.976,1.8549999999999995,0.14465288840529003,0.12175416861912443,0.032375857624494804,4.950548807945847,-3.589639833378845,1.324173953213469,3.262736346485532,-5.620666498319376,24.1,0x0000,0x4056
15,0.5230907249997472,adis16470,0.07,0.02,1.08375,0.6864655000000001,0.196133,10.627956937499999,3.8880000000000003,8.376000000000001,2.4549999999999996,0.06785840131753954,0.14618877814704506,0.04284783313646078,5.005538880781273,-3.3055321869127914,1.4097753891242675,1.0572415502312569,-3.6950044478576585,24.3,0x0000,0x4056
