sample,time_s,sensor,accel_x_g,accel_y_g,accel_z_g,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_dps,gyro_y_dps,gyro_z_dps,gyro_x_radps,gyro_y_radps,gyro_z_radps,roll_deg,pitch_deg,yaw_deg,accel_roll_deg,accel_pitch_deg,temp_c,diag_stat,prod_id
0,0.0002534300001570955,adis16470,-0.0225,0.00125,0.99875,-0.220649625,0.0122583125,9.7943916875,0.5039999999999998,0.11900000000000001,0.28500000000000003,0.008796459430051418,0.0020769418098732523,0.004974188368183839,0.0717093236505815,1.2905491929639952,0.0,0.0717093236505815,1.2905491929639952,24.3,0x0000,0x4056
1,0.5003224120000596,adis16470,-0.02375,-0.0175,0.99875,-0.2329079375,-0.17161637500000002,9.7943916875,-0.19600000000000034,0.11900000000000001,0.38500000000000006,-0.003420845333908892,0.0020769418098732523,0.00671951762017817,-0.04585561497252105,1.3502970646515158,0.19252843301991793,-1.0038283328985853,1.3620121463292698,24.3,0x0000,0x4056
2,1.0003865310000037,adis16470,-0.0175,-0.02,1.00125,-0.17161637500000002,-0.196133,9.8189083125,0.3039999999999997,-0.081,0.08500000000000002,0.005305800926062757,-0.001413716694115407,0.0014835298641951804,0.08115225021723342,1.3036189396226296,0.23503339999492032,-1.1443328032452083,1.0011227417223283,24.3,0x0000,0x4056
3,1.5004550680000648,adis16470,-0.0175,-0.01625,1.0,-0.17161637500000002,-0.1593580625,9.80665,-2.3960000000000004,0.21900000000000003,-0.014999999999999986,-0.04181808887778414,0.003822271061867582,-0.0002617993877991492,-1.1132931260375647,1.4049202746599236,0.22753235972991892,-0.9309744777077542,1.002441485905337,24.3,0x0000,0x4056
4,2.00052298300011,adis16470,-0.02375,-0.02375,0.9975,-0.2329079375,-0.2329079375,9.782133375,1.2039999999999997,-0.081,0.18500000000000003,0.021013764194011724,-0.001413716694115407,0.00322885911618951,-0.5282648716367812,1.3643972485193978,0.32004505072993317,-1.3639275316029187,1.3635412410339338,24.3,0x0000,0x4056
5,2.5005889080000543,adis16470,-0.02375,-0.0125,0.99375,-0.2329079375,-0.122583125,9.7453584375,1.4039999999999997,-0.081,0.18500000000000003,0.02450442269800038,-0.001413716694115407,0.00322885911618951,0.1559367656392118,1.3247934179766072,0.41255709959492387,-0.7206636225176557,1.3689642183806672,23.900000000000002,0x0000,0x4056
6,3.000645507000172,adis16470,-0.02,-0.0175,0.99625,-0.196133,-0.17161637500000002,9.769875062499999,0.20399999999999974,-0.081,0.585,0.0035604716740684278,-0.001413716694115407,0.010210176124166827,0.23266209786991388,1.2816011227209205,0.7050892997499092,-1.006346832653425,1.1498971208591664,24.3,0x0000,0x4056
7,3.500709874999984,adis16470,-0.025,-0.01625,0.99375,-0.24516625,-0.1593580625,9.7453584375,0.40399999999999975,-0.081,0.28500000000000003,0.007051130178057087,-0.001413716694115407,0.004974188368183839,0.4072585012780948,1.2450919785422239,0.8476081724499115,-0.9368286228411866,1.4409067409661136,24.200000000000003,0x0000,0x4056
8,4.000772528000198,adis16470,-0.0275,-0.0225,0.99625,-0.269682875,-0.220649625,9.769875062499999,0.3039999999999997,-0.081,0.08500000000000002,0.005305800926062757,-0.001413716694115407,0.0014835298641951804,0.5222158305440588,1.212110483896465,0.8901133798899027,-1.293787623966149,1.580760403069864,24.3,0x0000,0x4056
9,4.500843765000127,adis16470,-0.025,-0.02125,0.99625,-0.24516625,-0.2083913125,9.769875062499999,1.0039999999999998,0.019000000000000003,0.08500000000000002,0.017523105690023064,0.00033161255787892265,0.0014835298641951804,0.9793648234218825,1.2259227910911639,0.9326195972149016,-1.221932966984147,1.4371577456364188,24.3,0x0000,0x4056
