sample,time_s,sensor,accel_x_g,accel_y_g,accel_z_g,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_dps,gyro_y_dps,gyro_z_dps,gyro_x_radps,gyro_y_radps,gyro_z_radps,roll_deg,pitch_deg,yaw_deg,accel_roll_deg,accel_pitch_deg,temp_c,diag_stat,prod_id
0,0.0002882759999920381,adis16470,-0.02,0.0,1.00125,-0.196133,0.0,9.8189083125,-0.20699999999999993,-0.08599999999999998,0.021000000000000005,-0.003612831551628261,-0.001500983156715123,0.00036651914291880927,0.0,1.1443328032452083,0.0,0.0,1.1443328032452083,24.200000000000003,0x0000,0x4056
1,0.0413455719999547,adis16470,-0.02125,0.00125,0.9975,-0.2083913125,0.0122583125,9.782133375,0.2930000000000001,0.11400000000000003,0.321,0.005113814708343387,0.001989675347273536,0.005602506898901798,0.013224808706021912,1.1504409500737733,0.013178981778239177,0.07179918486439799,1.220401228121305,24.1,0x0000,0x4056
2,0.08228451600007247,adis16470,-0.02125,-0.00125,0.99625,-0.2083913125,-0.0122583125,9.769875062499999,0.1930000000000001,-0.08599999999999998,0.12100000000000001,0.0033684854563490576,-0.001500983156715123,0.002111848394913139,0.0192652951057374,1.1484206258523126,0.01813232284120477,-0.07188927157651441,1.2219320054415335,24.200000000000003,0x0000,0x4056
3,0.12317566499950772,adis16470,-0.0175,0.0,1.00125,-0.17161637500000002,0.0,9.8189083125,-0.006999999999999923,-0.286,-0.079,-0.00012217304763960173,-0.004991641660703782,-0.0013788101090755204,0.01859947693676203,1.1340177316963824,0.014901933762197585,0.0,1.0013224060710668,24.200000000000003,0x0000,0x4056
4,0.16405983099957666,adis16470,-0.01875,-0.00125,1.0025,-0.1838746875,-0.0122583125,9.831166624999998,0.09300000000000008,0.21400000000000008,0.021000000000000005,0.001623156204354728,0.0037350045992678668,0.00036651914291880927,0.020524836838936057,1.141341398557102,0.015760498539199034,-0.07144108456385073,1.0714910627496452,24.0,0x0000,0x4056
5,0.20494807199975185,adis16470,-0.02125,0.0025,1.0,-0.2083913125,0.024516625,9.80665,-0.006999999999999923,0.014000000000000026,0.22100000000000003,-0.00012217304763960173,0.0002443460952792066,0.003857177646907469,0.02269863016042445,1.1434225224201042,0.024796787424167632,0.14323915036830656,1.2173482967973137,24.1,0x0000,0x4056
6,0.24582468399967183,adis16470,-0.01625,0.0,1.0025,-0.1593580625,0.0,9.831166624999998,-0.10699999999999996,0.11400000000000003,-0.079,-0.0018675022996339319,0.001989675347273536,-0.0013788101090755204,0.017958340007542213,1.1436938678725654,0.021567538078142205,0.0,0.9286532526773692,24.3,0x0000,0x4056
7,0.2866922949997388,adis16470,-0.02,-0.00125,0.99875,-0.196133,-0.0122583125,9.7943916875,-0.30699999999999994,0.014000000000000026,0.321,-0.005358160803622591,0.0002443460952792066,0.005602506898901798,0.0038695627045959493,1.144324604950722,0.03468603543093286,-0.0717093236505815,1.1471955529828473,24.1,0x0000,0x4056
8,0.32756640600018727,adis16470,-0.01875,-0.01125,1.00125,-0.1838746875,-0.1103248125,9.8189083125,-0.707,0.11400000000000003,-0.079,-0.012339477811599909,0.001989675347273536,-0.0013788101090755204,-0.03740279254466003,1.1474598022044287,0.031456979160949236,-0.6437457141753808,1.0727615774572121,24.1,0x0000,0x4056
9,0.36843960999976844,adis16470,-0.08,-0.0725,1.0025,-0.784532,-0.7109821249999999,9.831166624999998,-0.30699999999999994,0.11400000000000003,-1.479,-0.005358160803622591,0.001989675347273536,-0.025813419636996137,-0.13167958809813954,1.220091553639345,-0.028994791271275973,-4.136383893672342,4.550728516861387,24.6,0x0000,0x4056
