sample,time_s,sensor,accel_x_g,accel_y_g,accel_z_g,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_dps,gyro_y_dps,gyro_z_dps,gyro_x_radps,gyro_y_radps,gyro_z_radps,roll_deg,pitch_deg,yaw_deg,accel_roll_deg,accel_pitch_deg,temp_c,diag_stat,prod_id
0,0.0002397680000285618,adis16470,0.0,0.0,0.0,0.0,0.0,0.0,0.024000000000000007,0.015000000000000003,0.21500000000000027,0.0004188790204786392,0.00026179938779914946,0.003752457891787813,0.0,-0.0,0.0,0.0,-0.0,0.0,0x0000,0x0000
1,0.03518721299997196,adis16470,0.0,0.0,0.0,0.0,0.0,0.0,0.024000000000000007,0.015000000000000003,0.21500000000000027,0.0004188790204786392,0.00026179938779914946,0.003752457891787813,0.000821926439039162,0.0005137040243994762,0.007513358179992347,0.0,-0.0,0.0,0x0000,0x0000
2,0.07008995599971968,adis16470,0.0,0.0,0.0,0.0,0.0,0.0,0.024000000000000007,0.015000000000000003,0.21500000000000027,0.0004188790204786392,0.00026179938779914946,0.003752457891787813,0.0016263725544184116,0.001016482846511507,0.015017193149992655,0.0,-0.0,0.0,0x0000,0x0000
3,0.10491371999978583,adis16470,0.0,0.0,0.0,0.0,0.0,0.0,0.024000000000000007,0.015000000000000003,0.21500000000000027,0.0004188790204786392,0.00026179938779914946,0.003752457891787813,0.0024129009263728434,0.0015080630789830265,0.022504310580018255,0.0,-0.0,0.0,0x0000,0x0000
4,0.1397917240001334,adis16470,0.0,0.00625,1.00625,0.0,0.0612915625,9.8679415625,0.024000000000000007,0.015000000000000003,0.21500000000000027,0.0004188790204786392,0.00026179938779914946,0.003752457891787813,0.010302371021082184,0.0019906090054028786,0.03000308918001114,0.3558698306218785,-0.0,24.3,0x0000,0x0000
5,0.174676264000027,adis16470,0.0,0.00875,0.99875,0.0,0.08580818750000001,9.7943916875,0.22400000000000003,-0.185,-25.585,0.003909537524467299,-0.0032288591161895096,-0.44654248912274924,0.027793239655196533,-0.004373776984797394,-0.8625188133638904,0.5019526855752704,-0.0,24.3,0x0000,0x4056
6,0.20952363900005366,adis16470,0.0025,0.005,1.0050000000000001,0.024516625,0.04903325,9.85568325,0.12400000000000001,0.115,-11.185,0.002164208272472969,0.002007128639793479,-0.19521507683556577,0.037173026446341365,-0.0032095224393534436,-1.2522842196700164,0.28505127758382637,-0.14252475686816699,24.3,0x0000,0x4056
7,0.24436745799994242,adis16470,-0.0025,0.00875,1.0025,-0.024516625,0.08580818750000001,9.831166624999998,0.12400000000000001,0.115,-0.08499999999999977,0.002164208272472969,0.002007128639793479,-0.001483529864195176,0.050665289854445156,0.003639096508072633,-1.2552459442850068,0.5000751526082065,0.14287650486757714,24.6,0x0000,0x4056
8,0.279229444000066,adis16470,-0.00625,0.00875,1.0,-0.0612915625,0.08580818750000001,9.80665,0.12400000000000001,0.115,0.3150000000000003,0.002164208272472969,0.002007128639793479,0.005497787143782143,0.0639149181313281,0.014656865443789701,-1.2442644186949678,0.5013252767618416,0.35808025218322936,24.3,0x0000,0x4056
9,0.3140946509997775,adis16470,-0.00625,0.01125,1.00375,-0.0612915625,0.1103248125,9.843424937499998,-0.076,0.115,0.11500000000000027,-0.0013264502315156904,0.002007128639793479,0.0020071286397934838,0.07288271042970312,0.025427710006979215,-1.2402549219599792,0.6421424968857137,0.3567337535888179,24.400000000000002,0x0000,0x4056
