sample,time_s,sensor,accel_x_g,accel_y_g,accel_z_g,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_dps,gyro_y_dps,gyro_z_dps,gyro_x_radps,gyro_y_radps,gyro_z_radps,roll_deg,pitch_deg,yaw_deg,accel_roll_deg,accel_pitch_deg,temp_c,diag_stat,prod_id
0,0.0005513270000392367,adis16470,-0.005,0.00125,0.99375,-0.04903325,0.0122583125,9.7453584375,-0.131,-0.07999999999999999,0.142,-0.002286381320112572,-0.0013962634015954635,0.002478367537831948,0.07207012489938787,0.2882779909681424,0.0,0.07207012489938787,0.2882779909681424,24.6,0x0000,0x4056
1,0.0355419489999349,adis16470,-0.0025,0.00125,1.0,-0.024516625,0.0122583125,9.80665,-0.031,0.020000000000000018,-0.05800000000000003,-0.0005410520681182421,0.0003490658503988662,-0.0010122909661567116,0.0709981494421716,0.28606299688644427,-0.0020293636819951654,0.07161968708944809,0.14323903846331773,24.400000000000002,0x0000,0x4056
2,0.07044091100010519,adis16470,0.0025,0.00375,0.995,0.024516625,0.03677493749999999,9.757616749999999,-0.331,-0.07999999999999999,0.142,-0.005777039824101231,-0.0013962634015954635,0.002478367537831948,0.06257682645633215,0.27472659863996296,0.0029261101440147272,0.21593784510832903,-0.14395791967734764,24.700000000000003,0x0000,0x4056
3,0.10528258099998311,adis16470,-0.00125,0.0025,1.0025,-0.0122583125,0.024516625,9.831166624999998,-0.131,0.020000000000000018,0.041999999999999975,-0.002286381320112572,0.0003490658503988662,0.000733038285837618,0.05970995283314435,0.27134378102003825,0.00438946108201071,0.142881946987328,0.07144086242382265,24.6,0x0000,0x4056
4,0.14014239800008,adis16470,0.0075,0.01125,1.02375,0.07354987499999999,0.1103248125,10.039557937499998,-0.131,-0.18,0.041999999999999975,-0.002286381320112572,-0.003141592653589793,0.000733038285837618,0.06663244176683641,0.2513733309469964,0.005853567138014111,0.6295986084102669,-0.41971645087133924,24.700000000000003,0x0000,0x4056
5,0.1750463769999442,adis16470,-0.005,0.00625,0.99875,-0.04903325,0.0612915625,9.7943916875,-0.031,-0.18,0.142,-0.0005410520681182421,-0.003141592653589793,0.002478367537831948,0.07141024128453863,0.24592532562980438,0.01080998483801886,0.3585421253019974,0.2868294320876917,24.400000000000002,0x0000,0x4056
6,0.20996481499992115,adis16470,0.00875,-0.00375,1.00625,0.08580818750000001,-0.03677493749999999,9.8679415625,-0.031,-0.07999999999999999,0.041999999999999975,-0.0005410520681182421,-0.0013962634015954635,0.000733038285837618,0.06465074964495927,0.22830507231011787,0.012276547558017225,-0.21352365565448742,-0.49820815315467337,24.700000000000003,0x0000,0x4056
7,0.24488930799998343,adis16470,0.0,0.00125,1.00625,0.0,0.0122583125,9.8679415625,0.069,0.020000000000000018,-0.15800000000000003,0.0012042771838760874,0.0003490658503988662,-0.002757620218151041,0.06714284206057236,0.2244234956503158,0.006758439586014898,0.07117484477156402,-0.0,24.5,0x0000,0x4056
8,0.27973126999995657,adis16470,-0.005,0.00625,0.915,-0.04903325,0.0612915625,8.97308475,-0.23100000000000004,0.12000000000000002,0.142,-0.004031710572106902,0.0020943951023931957,0.002478367537831948,0.06573971617606286,0.23029402238685934,0.011705945650017834,0.3913585276833313,0.3130812715173708,24.8,0x0000,0x4056
9,0.3145521409999219,adis16470,-0.0025,0.00875,1.0050000000000001,-0.024516625,0.08580818750000001,9.85568325,-0.331,0.020000000000000018,-0.15800000000000003,-0.005777039824101231,0.0003490658503988662,-0.002757620218151041,0.06310637083298454,0.22922105229545997,0.006204256880037513,0.4988312475051259,0.14252111911701343,24.900000000000002,0x0000,0x4056
10,0.3493956039999375,adis16470,-0.00625,0.005,1.0275,-0.0612915625,0.04903325,10.076332875,0.069,-0.07999999999999999,-0.05800000000000003,0.0012042771838760874,-0.0013962634015954635,-0.0010122909661567116,0.0697765509571692,0.22887501894058887,0.004183331734029246,0.2788093784447353,0.34850604959246395,24.8,0x0000,0x4056
11,0.3842133079999712,adis16470,-0.00375,0.00125,0.99875,-0.03677493749999999,0.0122583125,9.7943916875,-0.031,0.020000000000000018,-0.15800000000000003,-0.0005410520681182421,0.0003490658503988662,-0.002757620218151041,0.06875744681164028,0.2292824821869922,-0.0013178538059560275,0.0717093236505815,0.21512690386084704,24.5,0x0000,0x4056
12,0.4190639920000194,adis16470,0.0,0.00625,0.99,0.0,0.0612915625,9.7085835,-0.131,0.020000000000000018,-0.25800000000000006,-0.002286381320112572,0.0003490658503988662,-0.004502949470145371,0.07014238180140293,0.22537990667485455,-0.01030933982398484,0.3617109743994895,-0.0,24.400000000000002,0x0000,0x4056
13,0.4539130089999617,adis16470,0.0025,0.0,1.00125,0.024516625,0.0,9.8189083125,-0.031,-0.07999999999999999,0.041999999999999975,-0.0005410520681182421,-0.0013962634015954635,0.000733038285837618,0.06768081537823421,0.21527892451203953,-0.008845673297983934,0.0,-0.14306032570581104,24.5,0x0000,0x4056
14,0.4887526939999134,adis16470,-0.00375,0.00375,1.0050000000000001,-0.03677493749999999,0.03677493749999999,9.85568325,0.069,0.020000000000000018,0.142,0.0012042771838760874,0.0003490658503988662,0.002478367537831948,0.07295883309252753,0.2159319557598177,-0.0038984591859930464,0.21378922987711652,0.21378774162101022,24.3,0x0000,0x4056
15,0.5236243019999165,adis16470,-0.00125,0.00375,1.0,-0.0122583125,0.03677493749999999,9.80665,0.069,0.020000000000000018,0.041999999999999975,0.0012042771838760874,0.0003490658503988662,0.000733038285837618,0.07815483788424084,0.21372918383180856,-0.002433851649992917,0.2148581660301822,0.07161918351935888,24.700000000000003,0x0000,0x4056
