sample,time_s,sensor,accel_x_g,accel_y_g,accel_z_g,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_dps,gyro_y_dps,gyro_z_dps,gyro_x_radps,gyro_y_radps,gyro_z_radps,roll_deg,pitch_deg,yaw_deg,accel_roll_deg,accel_pitch_deg,temp_c,diag_stat,prod_id
0,0.00024019300008149003,adis16470,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.005,0.021000000000000005,0.00020943951023931956,8.726646259971648e-05,0.00036651914291880927,0.0,-0.0,0.0,0.0,-0.0,0.0,0x0000,0x0000
1,0.03518870700008847,adis16470,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.005,0.021000000000000005,0.00020943951023931956,8.726646259971648e-05,0.00036651914291880927,0.00041097298031796527,0.0001712387417991522,0.0007338803219963668,0.0,-0.0,0.0,0x0000,0x0000
2,0.0701124450001771,adis16470,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.005,0.021000000000000005,0.00020943951023931956,8.726646259971648e-05,0.00036651914291880927,0.0008134473068755077,0.00033893637786479487,0.0014672620830033342,0.0,-0.0,0.0,0x0000,0x0000
3,0.10499777399991217,adis16470,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.005,0.021000000000000005,0.00020943951023931956,8.726646259971648e-05,0.00036651914291880927,0.0012074261371364983,0.0005030942238068743,0.002199847398000657,0.0,-0.0,0.0,0x0000,0x0000
4,0.13981901399984054,adis16470,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.005,0.021000000000000005,0.00020943951023931956,8.726646259971648e-05,0.00036651914291880927,0.001592773209434667,0.0006636555039311112,0.0029310895320022617,0.0,-0.0,0.0,0x0000,0x0000
5,0.17463877199998024,adis16470,0.02125,0.00875,0.995,0.2083913125,0.08580818750000001,9.757616749999999,0.012,-0.29500000000000004,-16.379,0.00020943951023931956,-0.005148721293383273,-0.28586747818415126,0.012047286363776045,-0.033884437071358145,-0.5673829387929163,0.5038443697106137,-1.2234203017032501,24.3,0x0000,0x0000
6,0.20947814000010112,adis16470,0.0025,0.0125,1.0,0.024516625,0.122583125,9.80665,-0.28800000000000003,0.20500000000000002,-2.6790000000000003,-0.00502654824574367,0.003577924966588376,-0.046757370660928096,0.016296497207350408,-0.029072093388682656,-0.6607174074189002,0.7161599454704085,-0.14322796116752304,24.200000000000003,0x0000,0x4056
7,0.24429960199995548,adis16470,0.00125,0.00625,0.9975,0.0122583125,0.0612915625,9.782133375,0.012,0.20500000000000002,0.521,0.00020943951023931956,0.003577924966588376,0.009093165402890457,0.023559895075273313,-0.022930990182502782,-0.6425754642708053,0.3589914144593881,-0.07179777554151914,24.400000000000002,0x0000,0x4056
8,0.2790763439998045,adis16470,0.00125,0.005,1.0,0.0122583125,0.04903325,9.80665,-0.08800000000000001,0.005,0.921,-0.0015358897417550102,8.726646259971648e-05,0.016074482410867775,0.025819081149242362,-0.023734340180275017,-0.6105460848889442,0.2864765102770745,-0.07161879186107749,24.200000000000003,0x0000,0x4056
9,0.3139141940000627,adis16470,-0.0025,0.00625,0.995,-0.024516625,0.0612915625,9.757616749999999,-0.28800000000000003,0.10500000000000001,0.42100000000000004,-0.00502654824574367,0.0018325957145940463,0.007347836150896128,0.022667890555571765,-0.016795701339650942,-0.5958792877309201,0.3598933792425204,0.14395610214063387,24.3,0x0000,0x4056
10,0.3487423400001717,adis16470,-0.00375,0.005,0.99625,-0.03677493749999999,0.04903325,9.769875062499999,0.012,0.20500000000000002,0.32100000000000006,0.00020943951023931956,0.003577924966588376,0.005602506898901799,0.02837520819856519,-0.005149528916405425,-0.5846994528648851,0.2875548228571788,0.21566419325153002,24.3,0x0000,0x4056
11,0.38355748799995126,adis16470,0.00125,0.00875,0.99625,0.0122583125,0.08580818750000001,9.769875062499999,0.012,0.20500000000000002,0.22100000000000003,0.00020943951023931956,0.003577924966588376,0.003857177646907469,0.038281373168610563,0.0005100687986427789,-0.5770053338869315,0.5032122261169566,-0.07188649897188719,24.1,0x0000,0x4056
