sample,time_s,sensor,accel_x_g,accel_y_g,accel_z_g,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_dps,gyro_y_dps,gyro_z_dps,gyro_x_radps,gyro_y_radps,gyro_z_radps,roll_deg,pitch_deg,yaw_deg,accel_roll_deg,accel_pitch_deg,temp_c,diag_stat,prod_id
0,0.0006344960000888022,adis16470,0.0,0.0,0.0,0.0,0.0,0.0,0.498,-0.036000000000000004,-0.14100000000000004,0.008691739674931762,-0.0006283185307179587,-0.0024609142453120053,0.0,-0.0,0.0,0.0,-0.0,0.0,0x0000,0x0000
1,0.03556901500007825,adis16470,0.0,0.0,0.0,0.0,0.0,0.0,0.498,-0.036000000000000004,-0.14100000000000004,0.008691739674931762,-0.0006283185307179587,-0.0024609142453120053,0.017048574917656684,-0.0012324271024812062,-0.0049255164810048215,0.0,-0.0,0.0,0x0000,0x0000
2,0.07042386800003442,adis16470,0.0,0.0,0.0,0.0,0.0,0.0,0.498,-0.036000000000000004,-0.14100000000000004,0.008691739674931762,-0.0006283185307179587,-0.0024609142453120053,0.033717361587498836,-0.0024373996328312412,-0.009839818386003462,0.0,-0.0,0.0,0x0000,0x0000
3,0.10525555399999575,adis16470,0.0,0.0,0.0,0.0,0.0,0.0,0.498,-0.036000000000000004,-0.14100000000000004,0.008691739674931762,-0.0006283185307179587,-0.0024609142453120053,0.05004227039116999,-0.003617513522253252,-0.014751086111998012,0.0,-0.0,0.0,0x0000,0x0000
4,0.14012472199999593,adis16470,0.0,0.0,0.0,0.0,0.0,0.0,0.498,-0.036000000000000004,-0.14100000000000004,0.008691739674931762,-0.0006283185307179587,-0.0024609142453120053,0.06605897373406668,-0.004775347498848193,-0.019667638799998038,0.0,-0.0,0.0,0x0000,0x0000
5,0.17500698200001352,adis16470,0.0,0.0,0.0,0.0,0.0,0.0,0.498,-0.036000000000000004,-0.14100000000000004,0.008691739674931762,-0.0006283185307179587,-0.0024609142453120053,0.08176177732949845,-0.005910489927433623,-0.024586050432007605,0.0,-0.0,0.0,0x0000,0x0000
6,0.2098448350000126,adis16470,0.0,0.0,0.0,0.0,0.0,0.0,0.498,-0.036000000000000004,-0.14100000000000004,0.008691739674931762,-0.0006283185307179587,-0.0024609142453120053,0.09712876266132352,-0.007021356336963145,-0.02949817473300039,0.0,-0.0,0.0,0x0000,0x0000
7,0.24464879900006054,adis16470,0.0,0.0,0.0,0.0,0.0,0.0,0.498,-0.036000000000000004,-0.14100000000000004,0.008691739674931762,-0.0006283185307179587,-0.0024609142453120053,0.11217180565378107,-0.008108805227984173,-0.03440550235500155,0.0,-0.0,0.0,0x0000,0x0000
8,0.27941437499998756,adis16470,0.0,0.0,0.0,0.0,0.0,0.0,0.498,-0.036000000000000004,-0.14100000000000004,0.008691739674931762,-0.0006283185307179587,-0.0024609142453120053,0.12689539687869691,-0.009173161220146765,-0.03930745886401065,0.0,-0.0,0.0,0x0000,0x0000
9,0.3142327650000425,adis16470,0.0,0.0,0.0,0.0,0.0,0.0,0.498,-0.036000000000000004,-0.14100000000000004,0.008691739674931762,-0.0006283185307179587,-0.0024609142453120053,0.1413502652694672,-0.01021809146526269,-0.0442168545330061,0.0,-0.0,0.0,0x0000,0x0000
