sample,time_s,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_radps,gyro_y_radps,gyro_z_radps,quat_i,quat_j,quat_k,quat_real,roll_deg_zeroed,pitch_deg_zeroed,yaw_deg_zeroed
0,0.0401,0.125000,0.195312,9.914062,-0.001953,0.000000,0.000000,0.01159668,-0.00061035,0.49023438,0.87152100,0.0000,0.0000,0.0000
1,0.0801,0.125000,0.195312,9.914062,0.005859,0.000000,0.000000,0.01165771,-0.00061035,0.49481201,0.86895752,0.0099,0.0025,0.6036
2,0.1201,0.164062,0.195312,9.914062,0.000000,0.000000,0.000000,0.01165771,-0.00061035,0.49481201,0.86895752,0.0099,0.0025,0.6036
3,0.1601,0.125000,0.195312,9.914062,0.001953,0.000000,0.001953,0.01190186,-0.00085449,0.49835205,0.86688232,0.0232,-0.0313,1.0701
4,0.2001,0.125000,0.195312,9.914062,0.001953,0.000000,0.001953,0.01184082,-0.00085449,0.50054932,0.86566162,0.0189,-0.0250,1.3619
5,0.2401,0.164062,0.195312,9.914062,0.003906,-0.001953,0.001953,0.01190186,-0.00085449,0.50256348,0.86444092,0.0266,-0.0260,1.6273
6,0.2801,0.125000,0.195312,9.914062,-0.003906,0.000000,0.000000,0.01190186,-0.00079346,0.50384521,0.86370850,0.0312,-0.0184,1.7975
7,0.3201,0.164062,0.195312,9.914062,-0.003906,0.001953,0.000000,0.01190186,-0.00079346,0.50384521,0.86370850,0.0312,-0.0184,1.7975
8,0.3601,0.125000,0.195312,9.953125,0.001953,0.000000,0.000000,0.01208496,-0.00109863,0.50891113,0.86071777,0.0358,-0.0529,2.4709
9,0.4001,0.125000,0.195312,9.914062,0.001953,0.000000,0.000000,0.01226807,-0.00097656,0.50878906,0.86083984,0.0609,-0.0516,2.4561
10,0.4401,0.125000,0.195312,9.914062,-0.001953,-0.001953,0.000000,0.01232910,-0.00097656,0.50872803,0.86083984,0.0669,-0.0553,2.4470
11,0.4801,0.125000,0.195312,9.914062,-0.003906,0.000000,0.000000,0.01232910,-0.00097656,0.50866699,0.86090088,0.0669,-0.0554,2.4396
12,0.5201,0.125000,0.195312,9.914062,-0.001953,0.001953,0.000000,0.01232910,-0.00097656,0.50866699,0.86090088,0.0669,-0.0554,2.4396
13,0.5601,0.164062,0.195312,9.914062,0.009766,0.001953,0.001953,0.01232910,-0.00091553,0.50860596,0.86090088,0.0703,-0.0495,2.4304
14,0.6001,0.125000,0.195312,9.914062,0.009766,0.001953,0.001953,0.01232910,-0.00085449,0.50854492,0.86096191,0.0739,-0.0435,2.4229
15,0.6401,0.125000,0.195312,9.914062,-0.003906,0.000000,0.001953,0.01226807,-0.00085449,0.50848389,0.86096191,0.0678,-0.0400,2.4137
16,0.6801,0.125000,0.195312,9.914062,-0.001953,0.000000,0.000000,0.01220703,-0.00085449,0.50842285,0.86102295,0.0617,-0.0365,2.4062
17,0.7201,0.125000,0.195312,9.914062,0.003906,0.000000,0.001953,0.01214600,-0.00091553,0.50842285,0.86102295,0.0521,-0.0390,2.4062
18,0.7601,0.125000,0.195312,9.953125,0.003906,0.000000,0.001953,0.01214600,-0.00091553,0.50842285,0.86102295,0.0521,-0.0390,2.4062
19,0.8001,0.125000,0.195312,9.914062,-0.003906,0.000000,0.000000,0.01214600,-0.00085449,0.50836182,0.86108398,0.0556,-0.0330,2.3987
20,0.8401,0.125000,0.195312,9.914062,-0.003906,0.000000,0.000000,0.01214600,-0.00085449,0.50836182,0.86108398,0.0556,-0.0330,2.3987
21,0.8801,0.125000,0.195312,9.953125,0.000000,0.000000,0.000000,0.01214600,-0.00085449,0.50830078,0.86108398,0.0556,-0.0331,2.3896
22,0.9201,0.125000,0.195312,9.914062,0.000000,0.000000,0.000000,0.01208496,-0.00085449,0.50830078,0.86108398,0.0495,-0.0296,2.3895
23,0.9601,0.125000,0.195312,9.914062,-0.003906,0.000000,-0.001953,0.01208496,-0.00085449,0.50830078,0.86108398,0.0495,-0.0296,2.3895
24,1.0001,0.164062,0.195312,9.914062,-0.007812,0.001953,0.000000,0.01208496,-0.00079346,0.50830078,0.86108398,0.0531,-0.0236,2.3894
25,1.0401,0.125000,0.195312,9.953125,-0.007812,0.001953,0.000000,0.01202393,-0.00079346,0.50823975,0.86114502,0.0470,-0.0200,2.3819
26,1.0801,0.125000,0.195312,9.953125,-0.003906,0.000000,-0.001953,0.01196289,-0.00085449,0.50823975,0.86114502,0.0375,-0.0225,2.3819
27,1.1201,0.125000,0.195312,9.914062,-0.001953,0.000000,0.000000,0.01184082,-0.00085449,0.50823975,0.86114502,0.0254,-0.0154,2.3818
28,1.1601,0.125000,0.195312,9.914062,0.001953,0.000000,0.000000,0.01184082,-0.00085449,0.50823975,0.86114502,0.0254,-0.0154,2.3818
29,1.2001,0.125000,0.195312,9.914062,0.001953,0.001953,0.001953,0.01184082,-0.00091553,0.50823975,0.86114502,0.0219,-0.0214,2.3819
30,1.2401,0.125000,0.195312,9.953125,0.001953,0.001953,0.001953,0.01184082,-0.00085449,0.50823975,0.86114502,0.0254,-0.0154,2.3818
31,1.2801,0.125000,0.195312,9.953125,0.001953,0.000000,0.000000,0.01177979,-0.00091553,0.50817871,0.86114502,0.0157,-0.0180,2.3727
32,1.3201,0.125000,0.195312,9.953125,-0.001953,-0.001953,0.003906,0.01177979,-0.00091553,0.50811768,0.86120605,0.0157,-0.0180,2.3653
33,1.3601,0.125000,0.195312,9.953125,0.003906,0.001953,0.001953,0.01177979,-0.00091553,0.50811768,0.86120605,0.0157,-0.0180,2.3653
34,1.4001,0.125000,0.195312,9.953125,0.003906,-0.001953,0.000000,0.01177979,-0.00091553,0.50805664,0.86120605,0.0156,-0.0182,2.3561
