sample,time_s,sensor,message_type,yaw_deg,pitch_deg,roll_deg,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_time_s,gps_week,ins_status,latitude_deg,longitude_deg,altitude_m,vel_n_mps,vel_e_mps,vel_d_mps,raw_message
0,0.00018671499998390573,vn200,VNINS,-80.175,-5.35,-1.124,,,,,,,,,,346.801257,0000,5880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000346.801257,0000,5880,-080.175,-005.350,-001.124,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*50"
1,0.04651472000000467,vn200,VNINS,-80.176,-5.35,-1.124,,,,,,,,,,346.826256,0000,5880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000346.826256,0000,5880,-080.176,-005.350,-001.124,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*57"
2,0.08005768800001078,vn200,VNINS,-80.176,-5.35,-1.123,,,,,,,,,,346.851257,0000,E880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000346.851257,0000,E880,-080.176,-005.350,-001.123,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*21"
3,0.12005683600000339,vn200,VNINS,-80.176,-5.349,-1.123,,,,,,,,,,346.876257,0000,E880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000346.876257,0000,E880,-080.176,-005.349,-001.123,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*2C"
4,0.16005772400001206,vn200,VNINS,-80.177,-5.349,-1.123,,,,,,,,,,346.901257,0000,5880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000346.901257,0000,5880,-080.177,-005.349,-001.123,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*5C"
5,0.20005842799997708,vn200,VNINS,-80.177,-5.348,-1.123,,,,,,,,,,346.926256,0000,5880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000346.926256,0000,5880,-080.177,-005.348,-001.123,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*59"
6,0.2400587789999804,vn200,VNINS,-80.178,-5.349,-1.123,,,,,,,,,,346.951259,0000,9880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000346.951259,0000,9880,-080.178,-005.349,-001.123,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*54"
7,0.2800586120000048,vn200,VNINS,-80.178,-5.349,-1.123,,,,,,,,,,346.976257,0000,9880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000346.976257,0000,9880,-080.178,-005.349,-001.123,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*5F"
8,0.32005801899998687,vn200,VNINS,-80.179,-5.348,-1.123,,,,,,,,,,347.001257,0000,2880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000347.001257,0000,2880,-080.179,-005.348,-001.123,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*5C"
9,0.3600554999999872,vn200,VNINS,-80.18,-5.349,-1.123,,,,,,,,,,347.026256,0000,2880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000347.026256,0000,2880,-080.180,-005.349,-001.123,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*5F"
10,0.40005801799998153,vn200,VNINS,-80.18,-5.348,-1.123,,,,,,,,,,347.051257,0000,2880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000347.051257,0000,2880,-080.180,-005.348,-001.123,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*5F"
11,0.4400579249999623,vn200,VNINS,-80.179,-5.347,-1.123,,,,,,,,,,347.076257,0000,D080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000347.076257,0000,D080,-080.179,-005.347,-001.123,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*2D"
12,0.4800683149999827,vn200,VNINS,-80.178,-5.349,-1.123,,,,,,,,,,347.101257,0000,D080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000347.101257,0000,D080,-080.178,-005.349,-001.123,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*23"
