sample,time_s,sensor,message_type,yaw_deg,pitch_deg,roll_deg,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_time_s,gps_week,ins_status,latitude_deg,longitude_deg,altitude_m,vel_n_mps,vel_e_mps,vel_d_mps,raw_message
0,0.00019617499998503263,vn200,VNINS,-80.242,-5.358,-1.097,,,,,,,,,,362.501257,0000,0080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000362.501257,0000,0080,-080.242,-005.358,-001.097,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*50"
1,0.04204222999999274,vn200,VNINS,-80.241,-5.356,-1.098,,,,,,,,,,362.526256,0000,8080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000362.526256,0000,8080,-080.241,-005.356,-001.098,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*5E"
2,0.0800573120000081,vn200,VNINS,-80.241,-5.357,-1.097,,,,,,,,,,362.551257,0000,8080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000362.551257,0000,8080,-080.241,-005.357,-001.097,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*51"
3,0.12005397600000833,vn200,VNINS,-80.241,-5.357,-1.097,,,,,,,,,,362.576257,0000,0080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000362.576257,0000,0080,-080.241,-005.357,-001.097,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*5C"
4,0.16005875100000821,vn200,VNINS,-80.242,-5.357,-1.097,,,,,,,,,,362.601257,0000,0080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000362.601257,0000,0080,-080.242,-005.357,-001.097,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*5C"
5,0.2000507109999603,vn200,VNINS,-80.242,-5.356,-1.097,,,,,,,,,,362.626256,0000,8080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000362.626256,0000,8080,-080.242,-005.356,-001.097,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*51"
6,0.24006052300001102,vn200,VNINS,-80.242,-5.356,-1.097,,,,,,,,,,362.651257,0000,8080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000362.651257,0000,8080,-080.242,-005.356,-001.097,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*50"
7,0.2800595209999983,vn200,VNINS,-80.243,-5.357,-1.096,,,,,,,,,,362.676257,0000,0080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000362.676257,0000,0080,-080.243,-005.357,-001.096,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*5C"
8,0.32005829600001334,vn200,VNINS,-80.242,-5.357,-1.096,,,,,,,,,,362.701257,0000,0080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000362.701257,0000,0080,-080.242,-005.357,-001.096,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*5C"
9,0.36005707099997153,vn200,VNINS,-80.242,-5.358,-1.096,,,,,,,,,,362.726256,0000,8080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000362.726256,0000,8080,-080.242,-005.358,-001.096,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*5F"
