sample,time_s,sensor,message_type,yaw_deg,pitch_deg,roll_deg,mag_x_gauss,mag_y_gauss,mag_z_gauss,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_radps,gyro_y_radps,gyro_z_radps,gps_time_s,gps_week,ins_status,latitude_deg,longitude_deg,altitude_m,vel_n_mps,vel_e_mps,vel_d_mps,raw_message
0,0.0002436280001347768,vn200,VNYMR,-83.231,6.6,0.087,0.0295,0.0522,0.2627,1.09,-0.066,-9.545,-0.001151,-0.000611,0.000443,,,,,,,,,,"$VNYMR,-083.231,+006.600,+000.087,+00.0295,+00.0522,+00.2627,+01.090,-00.066,-09.545,-00.001151,-00.000611,+00.000443*62"
1,0.040059415000541776,vn200,VNYMR,-83.23,6.6,0.088,0.0304,0.0524,0.2622,1.133,0.007,-9.512,0.002594,-0.002099,0.001668,,,,,,,,,,"$VNYMR,-083.230,+006.600,+000.088,+00.0304,+00.0524,+00.2622,+01.133,+00.007,-09.512,+00.002594,-00.002099,+00.001668*6B"
2,0.08005846100058989,vn200,VNYMR,-83.229,6.604,0.09,0.0295,0.0526,0.2629,1.26,0.086,-9.574,0.009809,0.007493,0.005467,,,,,,,,,,"$VNYMR,-083.229,+006.604,+000.090,+00.0295,+00.0526,+00.2629,+01.260,+00.086,-09.574,+00.009809,+00.007493,+00.005467*64"
3,0.12005780300023616,vn200,VNYMR,-83.232,6.598,0.091,0.0288,0.0534,0.2612,1.08,-0.293,-9.569,-0.000901,0.000552,-0.006468,,,,,,,,,,"$VNYMR,-083.232,+006.598,+000.091,+00.0288,+00.0534,+00.2612,+01.080,-00.293,-09.569,-00.000901,+00.000552,-00.006468*69"
4,0.16005801500068628,vn200,VNYMR,-83.235,6.598,0.087,0.0299,0.0522,0.2646,1.02,0.269,-9.543,-0.003899,0.004563,-0.001353,,,,,,,,,,"$VNYMR,-083.235,+006.598,+000.087,+00.0299,+00.0522,+00.2646,+01.020,+00.269,-09.543,-00.003899,+00.004563,-00.001353*63"
5,0.2000562829998671,vn200,VNYMR,-83.233,6.596,0.091,0.0302,0.0522,0.2636,1.015,-0.2,-9.551,0.005345,-0.006339,0.000541,,,,,,,,,,"$VNYMR,-083.233,+006.596,+000.091,+00.0302,+00.0522,+00.2636,+01.015,-00.200,-09.551,+00.005345,-00.006339,+00.000541*61"
6,0.2400574030007192,vn200,VNYMR,-83.235,6.6,0.09,0.0295,0.0541,0.2631,1.209,0.065,-9.497,-0.001596,-0.002471,-0.0016,,,,,,,,,,"$VNYMR,-083.235,+006.600,+000.090,+00.0295,+00.0541,+00.2631,+01.209,+00.065,-09.497,-00.001596,-00.002471,-00.001600*60"
7,0.28005567000036535,vn200,VNYMR,-83.235,6.599,0.092,0.0302,0.0522,0.2641,1.138,-0.102,-9.541,0.002774,0.005072,-0.000264,,,,,,,,,,"$VNYMR,-083.235,+006.599,+000.092,+00.0302,+00.0522,+00.2641,+01.138,-00.102,-09.541,+00.002774,+00.005072,-00.000264*6B"
8,0.3200554570003078,vn200,VNYMR,-83.235,6.596,0.09,0.0295,0.0536,0.2624,1.03,-0.026,-9.576,-0.001808,0.002712,-0.000102,,,,,,,,,,"$VNYMR,-083.235,+006.596,+000.090,+00.0295,+00.0536,+00.2624,+01.030,-00.026,-09.576,-00.001808,+00.002712,-00.000102*61"
9,0.36005550200025027,vn200,VNYMR,-83.234,6.597,0.089,0.0299,0.0522,0.2636,1.069,-0.037,-9.516,0.000204,-0.002906,-0.000399,,,,,,,,,,"$VNYMR,-083.234,+006.597,+000.089,+00.0299,+00.0522,+00.2636,+01.069,-00.037,-09.516,+00.000204,-00.002906,-00.000399*65"
10,0.40005765900059487,vn200,VNYMR,-83.234,6.6,0.089,0.0295,0.0526,0.2634,1.149,-0.038,-9.554,-0.001367,-0.0023,-0.001226,,,,,,,,,,"$VNYMR,-083.234,+006.600,+000.089,+00.0295,+00.0526,+00.2634,+01.149,-00.038,-09.554,-00.001367,-00.002300,-00.001226*63"
11,0.440057149000495,vn200,VNYMR,-83.234,6.602,0.089,0.0288,0.0531,0.2641,1.176,-0.001,-9.523,0.000761,0.002219,0.000356,,,,,,,,,,"$VNYMR,-083.234,+006.602,+000.089,+00.0288,+00.0531,+00.2641,+01.176,-00.001,-09.523,+00.000761,+00.002219,+00.000356*64"
12,0.4800583430005645,vn200,VNYMR,-83.233,6.6,0.088,0.0297,0.0539,0.2641,1.072,-0.027,-9.547,-0.000903,0.003888,0.000966,,,,,,,,,,"$VNYMR,-083.233,+006.600,+000.088,+00.0297,+00.0539,+00.2641,+01.072,-00.027,-09.547,-00.000903,+00.003888,+00.000966*63"
13,0.5200578140002108,vn200,VNYMR,-83.233,6.599,0.089,0.029,0.0519,0.2636,1.033,-0.03,-9.534,0.00066,-0.002253,-0.001382,,,,,,,,,,"$VNYMR,-083.233,+006.599,+000.089,+00.0290,+00.0519,+00.2636,+01.033,-00.030,-09.534,+00.000660,-00.002253,-00.001382*63"
14,0.5600576010001532,vn200,VNYMR,-83.233,6.6,0.089,0.0302,0.0529,0.2639,1.128,0.005,-9.524,0.000226,-0.003498,0.00066,,,,,,,,,,"$VNYMR,-083.233,+006.600,+000.089,+00.0302,+00.0529,+00.2639,+01.128,+00.005,-09.524,+00.000226,-00.003498,+00.000660*64"
15,0.6000564800006032,vn200,VNYMR,-83.232,6.601,0.089,0.03,0.0534,0.2629,1.148,-0.005,-9.535,0.000733,-0.000245,0.001752,,,,,,,,,,"$VNYMR,-083.232,+006.601,+000.089,+00.0300,+00.0534,+00.2629,+01.148,-00.005,-09.535,+00.000733,-00.000245,+00.001752*6E"
16,0.6400580620002074,vn200,VNYMR,-83.231,6.6,0.089,0.03,0.0531,0.2615,1.105,0.027,-9.51,0.000144,0.003139,0.001119,,,,,,,,,,"$VNYMR,-083.231,+006.600,+000.089,+00.0300,+00.0531,+00.2615,+01.105,+00.027,-09.510,+00.000144,+00.003139,+00.001119*6C"
