sample,time_s,sensor,message_type,yaw_deg,pitch_deg,roll_deg,mag_x_gauss,mag_y_gauss,mag_z_gauss,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_radps,gyro_y_radps,gyro_z_radps,gps_time_s,gps_week,ins_status,latitude_deg,longitude_deg,altitude_m,vel_n_mps,vel_e_mps,vel_d_mps,raw_message
17,0.6800567750005939,vn200,VNYMR,-83.23,6.598,0.089,0.0297,0.0519,0.2631,1.035,-0.016,-9.55,0.00036,3.9e-05,-0.00049,,,,,,,,,,"$VNYMR,-083.230,+006.598,+000.089,+00.0297,+00.0519,+00.2631,+01.035,-00.016,-09.550,+00.000360,+00.000039,-00.000490*6B"
18,0.7200583570001982,vn200,VNYMR,-83.228,6.599,0.089,0.0302,0.0541,0.2617,1.09,-0.015,-9.555,-0.000671,-0.001944,3.4e-05,,,,,,,,,,"$VNYMR,-083.228,+006.599,+000.089,+00.0302,+00.0541,+00.2617,+01.090,-00.015,-09.555,-00.000671,-00.001944,+00.000034*65"
19,0.7600561990002461,vn200,VNYMR,-83.228,6.601,0.088,0.0292,0.0524,0.2627,1.136,-0.012,-9.504,-0.000352,-0.000267,0.000957,,,,,,,,,,"$VNYMR,-083.228,+006.601,+000.088,+00.0292,+00.0524,+00.2627,+01.136,-00.012,-09.504,-00.000352,-00.000267,+00.000957*63"
20,0.8000566150003579,vn200,VNYMR,-83.227,6.6,0.088,0.0302,0.0524,0.2634,1.154,-0.029,-9.52,0.00038,0.00303,-0.000846,,,,,,,,,,"$VNYMR,-083.227,+006.600,+000.088,+00.0302,+00.0524,+00.2634,+01.154,-00.029,-09.520,+00.000380,+00.003030,-00.000846*66"
21,0.8400579940007447,vn200,VNYMR,-83.226,6.599,0.088,0.029,0.0541,0.2624,1.063,0.003,-9.554,0.000511,0.001034,-0.000248,,,,,,,,,,"$VNYMR,-083.226,+006.599,+000.088,+00.0290,+00.0541,+00.2624,+01.063,+00.003,-09.554,+00.000511,+00.001034,-00.000248*68"
22,0.8800566139998409,vn200,VNYMR,-83.227,6.6,0.088,0.03,0.0536,0.2634,1.062,-0.021,-9.535,-0.001067,-0.001631,-0.001747,,,,,,,,,,"$VNYMR,-083.227,+006.600,+000.088,+00.0300,+00.0536,+00.2634,+01.062,-00.021,-09.535,-00.001067,-00.001631,-00.001747*6E"
23,0.9200661040003979,vn200,VNYMR,-83.227,6.6,0.087,0.0299,0.0536,0.2636,1.128,0.002,-9.514,-0.000375,-0.002444,-0.000702,,,,,,,,,,"$VNYMR,-083.227,+006.600,+000.087,+00.0299,+00.0536,+00.2636,+01.128,+00.002,-09.514,-00.000375,-00.002444,-00.000702*6B"
24,0.960060538000107,vn200,VNYMR,-83.227,6.6,0.087,0.0295,0.0543,0.2617,1.139,-0.013,-9.548,0.000358,0.000638,0.000102,,,,,,,,,,"$VNYMR,-083.227,+006.600,+000.087,+00.0295,+00.0543,+00.2617,+01.139,-00.013,-09.548,+00.000358,+00.000638,+00.000102*6D"
25,1.0000569359999645,vn200,VNYMR,-83.226,6.599,0.088,0.0292,0.0524,0.2627,1.097,-0.016,-9.534,0.000203,0.001171,1.4e-05,,,,,,,,,,"$VNYMR,-083.226,+006.599,+000.088,+00.0292,+00.0524,+00.2627,+01.097,-00.016,-09.534,+00.000203,+00.001171,+00.000014*6C"
26,1.0400555550004356,vn200,VNYMR,-83.226,6.599,0.087,0.0309,0.0543,0.2617,1.077,0.01,-9.563,0.000141,-0.00076,-0.000852,,,,,,,,,,"$VNYMR,-083.226,+006.599,+000.087,+00.0309,+00.0543,+00.2617,+01.077,+00.010,-09.563,+00.000141,-00.000760,-00.000852*66"
27,1.0800574710001456,vn200,VNYMR,-83.225,6.599,0.087,0.0295,0.0536,0.2641,1.115,0.0,-9.565,-0.000103,-0.001674,-3e-06,,,,,,,,,,"$VNYMR,-083.225,+006.599,+000.087,+00.0295,+00.0536,+00.2641,+01.115,+00.000,-09.565,-00.000103,-00.001674,-00.000003*6B"
28,1.1200589610007228,vn200,VNYMR,-83.225,6.6,0.087,0.0292,0.0534,0.2636,1.137,-0.051,-9.556,-7.2e-05,-0.000174,-0.000278,,,,,,,,,,"$VNYMR,-083.225,+006.600,+000.087,+00.0292,+00.0534,+00.2636,+01.137,-00.051,-09.556,-00.000072,-00.000174,-00.000278*60"
29,1.1600555060003899,vn200,VNYMR,-83.224,6.6,0.086,0.0297,0.0522,0.2639,1.105,-0.036,-9.541,-0.000574,0.001677,-0.000275,,,,,,,,,,"$VNYMR,-083.224,+006.600,+000.086,+00.0297,+00.0522,+00.2639,+01.105,-00.036,-09.541,-00.000574,+00.001677,-00.000275*66"
30,1.200056904000121,vn200,VNYMR,-83.227,6.6,0.086,0.0297,0.0539,0.2627,1.078,0.0,-9.58,0.000218,0.000627,-1.1e-05,,,,,,,,,,"$VNYMR,-083.227,+006.600,+000.086,+00.0297,+00.0539,+00.2627,+01.078,+00.000,-09.580,+00.000218,+00.000627,-00.000011*6A"
31,1.2400573380000424,vn200,VNYMR,-83.226,6.6,0.086,0.0281,0.0521,0.2624,1.084,-0.013,-9.525,-2e-06,-0.00162,-0.000377,,,,,,,,,,"$VNYMR,-083.226,+006.600,+000.086,+00.0281,+00.0521,+00.2624,+01.084,-00.013,-09.525,-00.000002,-00.001620,-00.000377*62"
32,1.280054957000175,vn200,VNYMR,-83.226,6.6,0.085,0.0297,0.0536,0.2631,1.12,-0.025,-9.531,-0.000636,-0.001219,-0.000852,,,,,,,,,,"$VNYMR,-083.226,+006.600,+000.085,+00.0297,+00.0536,+00.2631,+01.120,-00.025,-09.531,-00.000636,-00.001219,-00.000852*68"
33,1.3200573180001811,vn200,VNYMR,-83.227,6.599,0.085,0.0295,0.0531,0.2624,1.098,-0.019,-9.56,-0.000368,0.001756,0.000342,,,,,,,,,,"$VNYMR,-083.227,+006.599,+000.085,+00.0295,+00.0531,+00.2624,+01.098,-00.019,-09.560,-00.000368,+00.001756,+00.000342*68"
34,1.3600588079998488,vn200,VNYMR,-83.228,6.601,0.085,0.0299,0.0522,0.2629,1.123,-0.042,-9.539,-0.000544,0.001226,-0.000463,,,,,,,,,,"$VNYMR,-083.228,+006.601,+000.085,+00.0299,+00.0522,+00.2629,+01.123,-00.042,-09.539,-00.000544,+00.001226,-00.000463*6D"
35,1.400057946000743,vn200,VNYMR,-83.229,6.602,0.086,0.0295,0.0529,0.2627,1.087,-0.033,-9.564,0.000366,0.000519,-0.000697,,,,,,,,,,"$VNYMR,-083.229,+006.602,+000.086,+00.0295,+00.0529,+00.2627,+01.087,-00.033,-09.564,+00.000366,+00.000519,-00.000697*67"
36,1.4400568240007487,vn200,VNYMR,-83.228,6.603,0.086,0.029,0.0529,0.2634,1.098,-0.029,-9.552,-0.000683,-0.001184,-0.000575,,,,,,,,,,"$VNYMR,-083.228,+006.603,+000.086,+00.0290,+00.0529,+00.2634,+01.098,-00.029,-09.552,-00.000683,-00.001184,-00.000575*60"
37,1.4800577770001837,vn200,VNYMR,-83.229,6.602,0.086,0.0309,0.0509,0.2627,1.104,-0.007,-9.527,-0.000878,-0.000386,5.4e-05,,,,,,,,,,"$VNYMR,-083.229,+006.602,+000.086,+00.0309,+00.0509,+00.2627,+01.104,-00.007,-09.527,-00.000878,-00.000386,+00.000054*60"
38,1.5200573780002742,vn200,VNYMR,-83.229,6.601,0.087,0.0295,0.0543,0.2626,1.098,-0.004,-9.514,-0.000679,0.0004,0.00159,,,,,,,,,,"$VNYMR,-083.229,+006.601,+000.087,+00.0295,+00.0543,+00.2626,+01.098,-00.004,-09.514,-00.000679,+00.000400,+00.001590*62"
39,1.5600575720000052,vn200,VNYMR,-83.23,6.602,0.086,0.0302,0.0534,0.265,1.096,-0.028,-9.542,0.000172,0.000411,0.000597,,,,,,,,,,"$VNYMR,-083.230,+006.602,+000.086,+00.0302,+00.0534,+00.2650,+01.096,-00.028,-09.542,+00.000172,+00.000411,+00.000597*69"
40,1.6000588209999478,vn200,VNYMR,-83.229,6.604,0.085,0.0297,0.0529,0.2627,1.089,-0.004,-9.544,-0.000611,-0.001037,6e-05,,,,,,,,,,"$VNYMR,-083.229,+006.604,+000.085,+00.0297,+00.0529,+00.2627,+01.089,-00.004,-09.544,-00.000611,-00.001037,+00.000060*6D"
41,1.6400570700006938,vn200,VNYMR,-83.228,6.603,0.086,0.0286,0.0534,0.2619,1.092,-0.028,-9.535,-0.000564,0.000437,0.000886,,,,,,,,,,"$VNYMR,-083.228,+006.603,+000.086,+00.0286,+00.0534,+00.2619,+01.092,-00.028,-09.535,-00.000564,+00.000437,+00.000886*69"
42,1.6800555600002554,vn200,VNYMR,-83.228,6.602,0.087,0.0292,0.0507,0.2631,1.101,-0.029,-9.525,-2.2e-05,-0.000908,0.00018,,,,,,,,,,"$VNYMR,-083.228,+006.602,+000.087,+00.0292,+00.0507,+00.2631,+01.101,-00.029,-09.525,-00.000022,-00.000908,+00.000180*62"
43,1.7200568280004518,vn200,VNYMR,-83.228,6.601,0.087,0.0297,0.0522,0.2629,1.118,-0.008,-9.575,-0.000233,0.00185,0.000108,,,,,,,,,,"$VNYMR,-083.228,+006.601,+000.087,+00.0297,+00.0522,+00.2629,+01.118,-00.008,-09.575,-00.000233,+00.001850,+00.000108*6D"
44,1.7600570399999924,vn200,VNYMR,-83.227,6.601,0.087,0.0292,0.0534,0.2634,1.073,-0.036,-9.507,-9.1e-05,-0.000592,0.000536,,,,,,,,,,"$VNYMR,-083.227,+006.601,+000.087,+00.0292,+00.0534,+00.2634,+01.073,-00.036,-09.507,-00.000091,-00.000592,+00.000536*6F"
45,1.8000544930000615,vn200,VNYMR,-83.226,6.602,0.088,0.0297,0.0531,0.2631,1.122,-0.035,-9.54,0.000113,-0.000188,0.00126,,,,,,,,,,"$VNYMR,-083.226,+006.602,+000.088,+00.0297,+00.0531,+00.2631,+01.122,-00.035,-09.540,+00.000113,-00.000188,+00.001260*65"
46,1.8400584820001313,vn200,VNYMR,-83.227,6.598,0.092,0.0299,0.0531,0.2634,1.077,-0.018,-9.539,0.000751,0.000862,0.000459,,,,,,,,,,"$VNYMR,-083.227,+006.598,+000.092,+00.0299,+00.0531,+00.2634,+01.077,-00.018,-09.539,+00.000751,+00.000862,+00.000459*62"
47,1.8800626199999897,vn200,VNYMR,-83.228,6.597,0.093,0.0295,0.0541,0.2636,1.078,-0.027,-9.556,-0.000185,-0.000346,-0.00043,,,,,,,,,,"$VNYMR,-083.228,+006.597,+000.093,+00.0295,+00.0541,+00.2636,+01.078,-00.027,-09.556,-00.000185,-00.000346,-00.000430*6B"
48,1.9200628879998476,vn200,VNYMR,-83.229,6.597,0.094,0.0299,0.0529,0.2624,1.1,-0.029,-9.542,-0.000555,-0.000958,0.000206,,,,,,,,,,"$VNYMR,-083.229,+006.597,+000.094,+00.0299,+00.0529,+00.2624,+01.100,-00.029,-09.542,-00.000555,-00.000958,+00.000206*60"
49,1.9600596370000858,vn200,VNYMR,-83.229,6.598,0.094,0.0304,0.0509,0.2629,1.119,-0.009,-9.543,-0.000915,-0.001917,0.000447,,,,,,,,,,"$VNYMR,-083.229,+006.598,+000.094,+00.0304,+00.0509,+00.2629,+01.119,-00.009,-09.543,-00.000915,-00.001917,+00.000447*6F"
50,2.000056331000451,vn200,VNYMR,-83.229,6.598,0.092,0.0297,0.0531,0.2595,1.128,-0.004,-9.542,-0.000167,-0.000409,-0.001095,,,,,,,,,,"$VNYMR,-083.229,+006.598,+000.092,+00.0297,+00.0531,+00.2595,+01.128,-00.004,-09.542,-00.000167,-00.000409,-00.001095*61"
51,2.0400585430006686,vn200,VNYMR,-83.229,6.6,0.089,0.0285,0.0529,0.2619,1.106,-0.006,-9.528,0.000743,0.001182,0.000986,,,,,,,,,,"$VNYMR,-083.229,+006.600,+000.089,+00.0285,+00.0529,+00.2619,+01.106,-00.006,-09.528,+00.000743,+00.001182,+00.000986*6D"
52,2.0800567730002513,vn200,VNYMR,-83.228,6.599,0.089,0.0297,0.0512,0.2636,1.109,-0.001,-9.523,-0.001044,0.001227,-0.000462,,,,,,,,,,"$VNYMR,-083.228,+006.599,+000.089,+00.0297,+00.0512,+00.2636,+01.109,-00.001,-09.523,-00.001044,+00.001227,-00.000462*60"
53,2.120056282000405,vn200,VNYMR,-83.228,6.601,0.088,0.0295,0.0543,0.2634,1.107,-0.028,-9.553,0.000618,0.000571,0.000408,,,,,,,,,,"$VNYMR,-083.228,+006.601,+000.088,+00.0295,+00.0543,+00.2634,+01.107,-00.028,-09.553,+00.000618,+00.000571,+00.000408*62"
54,2.1600574190006228,vn200,VNYMR,-83.228,6.601,0.089,0.0297,0.0524,0.2655,1.1,0.009,-9.533,-0.000525,-0.000772,0.0003,,,,,,,,,,"$VNYMR,-083.228,+006.601,+000.089,+00.0297,+00.0524,+00.2655,+01.100,+00.009,-09.533,-00.000525,-00.000772,+00.000300*60"
55,2.2000553910002054,vn200,VNYMR,-83.227,6.6,0.089,0.0297,0.0522,0.2639,1.114,-0.041,-9.533,-0.000132,-0.000426,0.000532,,,,,,,,,,"$VNYMR,-083.227,+006.600,+000.089,+00.0297,+00.0522,+00.2639,+01.114,-00.041,-09.533,-00.000132,-00.000426,+00.000532*6A"
56,2.2400579539998944,vn200,VNYMR,-83.228,6.6,0.088,0.0295,0.0529,0.2629,1.1,-0.007,-9.569,-0.000754,0.000947,-0.000406,,,,,,,,,,"$VNYMR,-083.228,+006.600,+000.088,+00.0295,+00.0529,+00.2629,+01.100,-00.007,-09.569,-00.000754,+00.000947,-00.000406*6E"
57,2.2800578700007463,vn200,VNYMR,-83.226,6.601,0.09,0.0299,0.0514,0.2631,1.099,0.002,-9.522,0.000756,3.8e-05,-0.000411,,,,,,,,,,"$VNYMR,-083.226,+006.601,+000.090,+00.0299,+00.0514,+00.2631,+01.099,+00.002,-09.522,+00.000756,+00.000038,-00.000411*6D"
58,2.3200594520003506,vn200,VNYMR,-83.227,6.601,0.088,0.0292,0.0531,0.2624,1.103,-0.027,-9.549,0.00137,0.000288,0.00109,,,,,,,,,,"$VNYMR,-083.227,+006.601,+000.088,+00.0292,+00.0531,+00.2624,+01.103,-00.027,-09.549,+00.001370,+00.000288,+00.001090*61"
59,2.3600586460006525,vn200,VNYMR,-83.228,6.602,0.089,0.0304,0.0529,0.2631,1.107,0.002,-9.568,0.000534,0.000393,0.000329,,,,,,,,,,"$VNYMR,-083.228,+006.602,+000.089,+00.0304,+00.0529,+00.2631,+01.107,+00.002,-09.568,+00.000534,+00.000393,+00.000329*65"
60,2.400058672000341,vn200,VNYMR,-83.227,6.602,0.088,0.0297,0.0509,0.2627,1.1,-0.008,-9.555,-0.000243,0.000984,-0.000683,,,,,,,,,,"$VNYMR,-083.227,+006.602,+000.088,+00.0297,+00.0509,+00.2627,+01.100,-00.008,-09.555,-00.000243,+00.000984,-00.000683*6E"
61,2.4400573100001566,vn200,VNYMR,-83.226,6.601,0.088,0.0295,0.0529,0.2629,1.112,0.013,-9.537,-0.000111,-0.000375,0.000501,,,,,,,,,,"$VNYMR,-083.226,+006.601,+000.088,+00.0295,+00.0529,+00.2629,+01.112,+00.013,-09.537,-00.000111,-00.000375,+00.000501*60"
62,2.4800589300002684,vn200,VNYMR,-83.226,6.602,0.088,0.0299,0.0534,0.2636,1.133,0.006,-9.542,-0.000792,2e-05,0.000501,,,,,,,,,,"$VNYMR,-083.226,+006.602,+000.088,+00.0299,+00.0534,+00.2636,+01.133,+00.006,-09.542,-00.000792,+00.000020,+00.000501*60"
63,2.520058216000507,vn200,VNYMR,-83.227,6.603,0.087,0.0295,0.0539,0.2624,1.107,-0.011,-9.546,0.000809,0.000277,2.2e-05,,,,,,,,,,"$VNYMR,-083.227,+006.603,+000.087,+00.0295,+00.0539,+00.2624,+01.107,-00.011,-09.546,+00.000809,+00.000277,+00.000022*61"
64,2.5600588170000265,vn200,VNYMR,-83.227,6.604,0.087,0.0293,0.0534,0.2607,1.106,-0.007,-9.534,0.000104,-0.000958,0.000696,,,,,,,,,,"$VNYMR,-083.227,+006.604,+000.087,+00.0293,+00.0534,+00.2607,+01.106,-00.007,-09.534,+00.000104,-00.000958,+00.000696*62"
65,2.6000567880000744,vn200,VNYMR,-83.229,6.603,0.088,0.0295,0.0539,0.2641,1.104,-0.021,-9.546,-0.000843,8.3e-05,-0.000462,,,,,,,,,,"$VNYMR,-083.229,+006.603,+000.088,+00.0295,+00.0539,+00.2641,+01.104,-00.021,-09.546,-00.000843,+00.000083,-00.000462*64"
66,2.640057536999848,vn200,VNYMR,-83.228,6.603,0.088,0.0297,0.0534,0.2648,1.11,-0.031,-9.573,-5.8e-05,-0.000533,0.000933,,,,,,,,,,"$VNYMR,-083.228,+006.603,+000.088,+00.0297,+00.0534,+00.2648,+01.110,-00.031,-09.573,-00.000058,-00.000533,+00.000933*64"
67,2.6800565820003612,vn200,VNYMR,-83.229,6.602,0.088,0.0304,0.0531,0.2622,1.118,-0.024,-9.579,0.000924,-0.000473,0.001067,,,,,,,,,,"$VNYMR,-083.229,+006.602,+000.088,+00.0304,+00.0531,+00.2622,+01.118,-00.024,-09.579,+00.000924,-00.000473,+00.001067*68"
68,2.720056349000515,vn200,VNYMR,-83.229,6.603,0.089,0.0283,0.0536,0.2636,1.099,-0.017,-9.552,-0.000483,0.00108,0.001124,,,,,,,,,,"$VNYMR,-083.229,+006.603,+000.089,+00.0283,+00.0536,+00.2636,+01.099,-00.017,-09.552,-00.000483,+00.001080,+00.001124*6A"
69,2.7600553020001826,vn200,VNYMR,-83.229,6.604,0.091,0.03,0.0534,0.2617,1.112,-0.034,-9.55,-0.00021,-0.000318,7.6e-05,,,,,,,,,,"$VNYMR,-083.229,+006.604,+000.091,+00.0300,+00.0534,+00.2617,+01.112,-00.034,-09.550,-00.000210,-00.000318,+00.000076*60"
70,2.8000560330001463,vn200,VNYMR,-83.23,6.604,0.092,0.0286,0.0553,0.2607,1.087,-0.006,-9.554,0.001027,-0.000559,-0.001459,,,,,,,,,,"$VNYMR,-083.230,+006.604,+000.092,+00.0286,+00.0553,+00.2607,+01.087,-00.006,-09.554,+00.001027,-00.000559,-00.001459*60"
71,2.840056189000279,vn200,VNYMR,-83.23,6.602,0.091,0.029,0.0522,0.2643,1.085,-0.029,-9.525,-0.000113,4e-05,0.000724,,,,,,,,,,"$VNYMR,-083.230,+006.602,+000.091,+00.0290,+00.0522,+00.2643,+01.085,-00.029,-09.525,-00.000113,+00.000040,+00.000724*69"
72,2.8800558080001792,vn200,VNYMR,-83.229,6.601,0.09,0.029,0.0541,0.2638,1.119,0.004,-9.535,-0.000819,0.000146,0.001526,,,,,,,,,,"$VNYMR,-083.229,+006.601,+000.090,+00.0290,+00.0541,+00.2638,+01.119,+00.004,-09.535,-00.000819,+00.000146,+00.001526*63"
73,2.92006157600008,vn200,VNYMR,-83.229,6.602,0.091,0.0295,0.0541,0.2626,1.101,-0.026,-9.533,0.001108,-0.000175,0.00079,,,,,,,,,,"$VNYMR,-083.229,+006.602,+000.091,+00.0295,+00.0541,+00.2626,+01.101,-00.026,-09.533,+00.001108,-00.000175,+00.000790*64"
74,2.9600595279998743,vn200,VNYMR,-83.229,6.602,0.091,0.0302,0.0534,0.2641,1.084,0.016,-9.57,0.000295,-0.000292,-0.000339,,,,,,,,,,"$VNYMR,-083.229,+006.602,+000.091,+00.0302,+00.0534,+00.2641,+01.084,+00.016,-09.570,+00.000295,-00.000292,-00.000339*6B"
75,3.0000577770006203,vn200,VNYMR,-83.23,6.601,0.09,0.0297,0.0529,0.2634,1.065,-0.003,-9.541,0.001314,-0.001281,-5e-05,,,,,,,,,,"$VNYMR,-083.230,+006.601,+000.090,+00.0297,+00.0529,+00.2634,+01.065,-00.003,-09.541,+00.001314,-00.001281,-00.000050*6B"
76,3.040054897000118,vn200,VNYMR,-83.23,6.6,0.091,0.0288,0.0536,0.2607,1.107,-0.014,-9.513,-0.000718,-0.000296,-0.000246,,,,,,,,,,"$VNYMR,-083.230,+006.600,+000.091,+00.0288,+00.0536,+00.2607,+01.107,-00.014,-09.513,-00.000718,-00.000296,-00.000246*62"
77,3.0800566090001666,vn200,VNYMR,-83.231,6.6,0.091,0.0302,0.0514,0.2627,1.117,-0.0,-9.548,-9e-06,-0.000406,0.0004,,,,,,,,,,"$VNYMR,-083.231,+006.600,+000.091,+00.0302,+00.0514,+00.2627,+01.117,-00.000,-09.548,-00.000009,-00.000406,+00.000400*62"
78,3.1200562650001302,vn200,VNYMR,-83.232,6.602,0.091,0.0292,0.0522,0.2629,1.098,-0.019,-9.524,-0.000376,0.000621,0.000431,,,,,,,,,,"$VNYMR,-083.232,+006.602,+000.091,+00.0292,+00.0522,+00.2629,+01.098,-00.019,-09.524,-00.000376,+00.000621,+00.000431*6C"
79,3.160056180000538,vn200,VNYMR,-83.233,6.603,0.091,0.0302,0.0526,0.2624,1.081,0.006,-9.53,0.000367,-0.000193,-0.000259,,,,,,,,,,"$VNYMR,-083.233,+006.603,+000.091,+00.0302,+00.0526,+00.2624,+01.081,+00.006,-09.530,+00.000367,-00.000193,-00.000259*68"
80,3.2000562440007343,vn200,VNYMR,-83.234,6.602,0.09,0.0299,0.0534,0.2634,1.086,-0.031,-9.564,0.000156,-8.3e-05,-0.000794,,,,,,,,,,"$VNYMR,-083.234,+006.602,+000.090,+00.0299,+00.0534,+00.2634,+01.086,-00.031,-09.564,+00.000156,-00.000083,-00.000794*6E"
81,3.2400561040003595,vn200,VNYMR,-83.234,6.601,0.091,0.0292,0.0519,0.2631,1.103,0.001,-9.548,-0.000479,0.000975,-0.001155,,,,,,,,,,"$VNYMR,-083.234,+006.601,+000.091,+00.0292,+00.0519,+00.2631,+01.103,+00.001,-09.548,-00.000479,+00.000975,-00.001155*68"
