sample,time_s,sensor,message_type,yaw_deg,pitch_deg,roll_deg,mag_x_gauss,mag_y_gauss,mag_z_gauss,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_radps,gyro_y_radps,gyro_z_radps,gps_time_s,gps_week,ins_status,latitude_deg,longitude_deg,altitude_m,vel_n_mps,vel_e_mps,vel_d_mps,raw_message
362,14.48005624400139,vn200,VNYMR,-83.454,6.629,0.078,0.0264,0.0521,0.265,1.095,0.005,-9.543,0.000275,-0.001924,0.000509,,,,,,,,,,"$VNYMR,-083.454,+006.629,+000.078,+00.0264,+00.0521,+00.2650,+01.095,+00.005,-09.543,+00.000275,-00.001924,+00.000509*64"
363,14.520057905001522,vn200,VNYMR,-83.452,6.629,0.077,0.0267,0.0531,0.2643,1.104,-0.018,-9.533,-6.7e-05,-0.000468,-0.000606,,,,,,,,,,"$VNYMR,-083.452,+006.629,+000.077,+00.0267,+00.0531,+00.2643,+01.104,-00.018,-09.533,-00.000067,-00.000468,-00.000606*60"
364,14.56005773400102,vn200,VNYMR,-83.452,6.628,0.075,0.0253,0.0538,0.2641,1.1,0.018,-9.518,0.000636,0.001143,0.000107,,,,,,,,,,"$VNYMR,-083.452,+006.628,+000.075,+00.0253,+00.0538,+00.2641,+01.100,+00.018,-09.518,+00.000636,+00.001143,+00.000107*6B"
365,14.600058673000603,vn200,VNYMR,-83.454,6.627,0.076,0.0251,0.0543,0.2638,1.126,-0.038,-9.542,0.000383,0.000784,-0.000915,,,,,,,,,,"$VNYMR,-083.454,+006.627,+000.076,+00.0251,+00.0543,+00.2638,+01.126,-00.038,-09.542,+00.000383,+00.000784,-00.000915*64"
366,14.640058742001202,vn200,VNYMR,-83.454,6.627,0.078,0.0248,0.0548,0.2645,1.11,-0.031,-9.578,0.000718,-0.000254,0.000265,,,,,,,,,,"$VNYMR,-083.454,+006.627,+000.078,+00.0248,+00.0548,+00.2645,+01.110,-00.031,-09.578,+00.000718,-00.000254,+00.000265*64"
367,14.680058552001356,vn200,VNYMR,-83.454,6.627,0.078,0.0253,0.0538,0.2648,1.095,0.0,-9.516,3.9e-05,-0.000131,-0.001383,,,,,,,,,,"$VNYMR,-083.454,+006.627,+000.078,+00.0253,+00.0538,+00.2648,+01.095,+00.000,-09.516,+00.000039,-00.000131,-00.001383*6E"
368,14.720056398000452,vn200,VNYMR,-83.455,6.627,0.077,0.0262,0.0541,0.2626,1.137,-0.046,-9.558,-0.000425,-0.000875,0.000406,,,,,,,,,,"$VNYMR,-083.455,+006.627,+000.077,+00.0262,+00.0541,+00.2626,+01.137,-00.046,-09.558,-00.000425,-00.000875,+00.000406*68"
369,14.760055393000584,vn200,VNYMR,-83.454,6.627,0.078,0.0255,0.0536,0.2643,1.089,0.014,-9.552,0.000278,8.3e-05,0.002624,,,,,,,,,,"$VNYMR,-083.454,+006.627,+000.078,+00.0255,+00.0536,+00.2643,+01.089,+00.014,-09.552,+00.000278,+00.000083,+00.002624*61"
370,14.800056332000167,vn200,VNYMR,-83.454,6.626,0.079,0.0253,0.0541,0.2648,1.1,-0.04,-9.551,0.00053,0.000746,-0.000462,,,,,,,,,,"$VNYMR,-083.454,+006.626,+000.079,+00.0253,+00.0541,+00.2648,+01.100,-00.040,-09.551,+00.000530,+00.000746,-00.000462*69"
371,14.840055493999898,vn200,VNYMR,-83.454,6.624,0.079,0.0272,0.0553,0.2641,1.109,-0.032,-9.537,-0.000648,0.000411,-0.000538,,,,,,,,,,"$VNYMR,-083.454,+006.624,+000.079,+00.0272,+00.0553,+00.2641,+01.109,-00.032,-09.537,-00.000648,+00.000411,-00.000538*6B"
372,14.880055081001046,vn200,VNYMR,-83.454,6.625,0.081,0.0267,0.055,0.2631,1.098,-0.021,-9.561,-0.000478,0.000528,-0.000142,,,,,,,,,,"$VNYMR,-083.454,+006.625,+000.081,+00.0267,+00.0550,+00.2631,+01.098,-00.021,-09.561,-00.000478,+00.000528,-00.000142*66"
373,14.920057447001454,vn200,VNYMR,-83.455,6.627,0.079,0.026,0.0536,0.2653,1.125,-0.03,-9.549,0.000502,-0.000381,-5.7e-05,,,,,,,,,,"$VNYMR,-083.455,+006.627,+000.079,+00.0260,+00.0536,+00.2653,+01.125,-00.030,-09.549,+00.000502,-00.000381,-00.000057*60"
374,14.960059293000086,vn200,VNYMR,-83.456,6.626,0.077,0.0262,0.055,0.2631,1.095,-0.003,-9.543,0.000186,-0.000745,-0.000807,,,,,,,,,,"$VNYMR,-083.456,+006.626,+000.077,+00.0262,+00.0550,+00.2631,+01.095,-00.003,-09.543,+00.000186,-00.000745,-00.000807*63"
375,15.000055844000599,vn200,VNYMR,-83.457,6.624,0.077,0.0258,0.0543,0.2624,1.088,-0.024,-9.56,5.4e-05,2e-05,-0.001367,,,,,,,,,,"$VNYMR,-083.457,+006.624,+000.077,+00.0258,+00.0543,+00.2624,+01.088,-00.024,-09.560,+00.000054,+00.000020,-00.001367*67"
376,15.04006395000033,vn200,VNYMR,-83.457,6.622,0.078,0.0248,0.0538,0.265,1.092,-0.025,-9.562,-0.001085,0.001979,-0.000483,,,,,,,,,,"$VNYMR,-083.457,+006.622,+000.078,+00.0248,+00.0538,+00.2650,+01.092,-00.025,-09.562,-00.001085,+00.001979,-00.000483*6B"
377,15.080058797000675,vn200,VNYMR,-83.458,6.621,0.078,0.0267,0.0531,0.2629,1.092,-0.009,-9.531,0.000319,4.3e-05,-0.000462,,,,,,,,,,"$VNYMR,-083.458,+006.621,+000.078,+00.0267,+00.0531,+00.2629,+01.092,-00.009,-09.531,+00.000319,+00.000043,-00.000462*6A"
378,15.120058625001548,vn200,VNYMR,-83.46,6.621,0.079,0.0258,0.0538,0.2631,1.101,-0.036,-9.545,-0.000846,0.000354,-0.000914,,,,,,,,,,"$VNYMR,-083.460,+006.621,+000.079,+00.0258,+00.0538,+00.2631,+01.101,-00.036,-09.545,-00.000846,+00.000354,-00.000914*66"
379,15.160058286001004,vn200,VNYMR,-83.46,6.621,0.08,0.0255,0.0543,0.2634,1.116,-0.043,-9.543,0.000476,-0.000356,-0.000309,,,,,,,,,,"$VNYMR,-083.460,+006.621,+000.080,+00.0255,+00.0543,+00.2634,+01.116,-00.043,-09.543,+00.000476,-00.000356,-00.000309*6D"
380,15.200061225999889,vn200,VNYMR,-83.46,6.623,0.082,0.0253,0.0541,0.2643,1.11,-0.036,-9.544,-0.00086,0.001506,-0.000897,,,,,,,,,,"$VNYMR,-083.460,+006.623,+000.082,+00.0253,+00.0541,+00.2643,+01.110,-00.036,-09.544,-00.000860,+00.001506,-00.000897*6F"
381,15.240058443001544,vn200,VNYMR,-83.462,6.623,0.082,0.0253,0.0553,0.2643,1.117,-0.038,-9.567,-0.000652,2.7e-05,-0.000548,,,,,,,,,,"$VNYMR,-083.462,+006.623,+000.082,+00.0253,+00.0553,+00.2643,+01.117,-00.038,-09.567,-00.000652,+00.000027,-00.000548*61"
382,15.280057604000831,vn200,VNYMR,-83.462,6.624,0.082,0.0258,0.0543,0.2622,1.109,-0.025,-9.541,-0.000496,0.000977,0.000902,,,,,,,,,,"$VNYMR,-083.462,+006.624,+000.082,+00.0258,+00.0543,+00.2622,+01.109,-00.025,-09.541,-00.000496,+00.000977,+00.000902*6E"
383,15.320058821000202,vn200,VNYMR,-83.463,6.624,0.081,0.0265,0.0546,0.2629,1.108,-0.017,-9.544,-0.000297,-0.000594,-0.000331,,,,,,,,,,"$VNYMR,-083.463,+006.624,+000.081,+00.0265,+00.0546,+00.2629,+01.108,-00.017,-09.544,-00.000297,-00.000594,-00.000331*65"
