sample,time_s,sensor,message_type,yaw_deg,pitch_deg,roll_deg,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_time_s,gps_week,ins_status,latitude_deg,longitude_deg,altitude_m,vel_n_mps,vel_e_mps,vel_d_mps,raw_message
0,0.000197361000005003,vn200,VNINS,-80.2,-5.353,-1.108,,,,,,,,,,176.451257,0000,8080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000176.451257,0000,8080,-080.200,-005.353,-001.108,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*51"
1,0.040059036999991804,vn200,VNINS,-80.198,-5.353,-1.109,,,,,,,,,,176.476256,0000,8080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000176.476256,0000,8080,-080.198,-005.353,-001.109,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*56"
2,0.08005484299999921,vn200,VNINS,-80.198,-5.352,-1.107,,,,,,,,,,176.501257,0000,0080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000176.501257,0000,0080,-080.198,-005.352,-001.107,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*51"
3,0.1200510559999941,vn200,VNINS,-80.199,-5.352,-1.106,,,,,,,,,,176.526256,0000,0080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000176.526256,0000,0080,-080.199,-005.352,-001.106,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*55"
4,0.16005269500001873,vn200,VNINS,-80.198,-5.352,-1.106,,,,,,,,,,176.551257,0000,8080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000176.551257,0000,8080,-080.198,-005.352,-001.106,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*5D"
5,0.2000583699999936,vn200,VNINS,-80.199,-5.351,-1.105,,,,,,,,,,176.576257,0000,8080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000176.576257,0000,8080,-080.199,-005.351,-001.105,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*59"
6,0.240057175000004,vn200,VNINS,-80.199,-5.352,-1.106,,,,,,,,,,176.601257,0000,0080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000176.601257,0000,0080,-080.199,-005.352,-001.106,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*52"
7,0.28005246200001466,vn200,VNINS,-80.199,-5.351,-1.106,,,,,,,,,,176.626256,0000,0080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000176.626256,0000,0080,-080.199,-005.351,-001.106,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*55"
8,0.3200510640000118,vn200,VNINS,-80.199,-5.352,-1.105,,,,,,,,,,176.651257,0000,0080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000176.651257,0000,0080,-080.199,-005.352,-001.105,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*54"
9,0.36005212800000663,vn200,VNINS,-80.2,-5.352,-1.104,,,,,,,,,,176.676257,0000,8080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000176.676257,0000,8080,-080.200,-005.352,-001.104,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*5B"
