time_s,angle_raw_deg,angle_display_deg,angle_smooth_deg
0.0,1.5801044978385672,1.5801044978385672,1.6044278118705504
0.5000922420003918,1.586352951484863,1.586352951484863,1.551729926658662
1.0001694480001788,1.6468259862882209,1.6468259862882209,1.5572154258940436
1.5002632270002325,1.3936362710229964,1.3936362710229964,1.5856058898354308
2.000346340000306,1.5791574228355707,1.5791574228355707,1.6240094533666976
2.5004613410001184,1.722056817545504,1.722056817545504,1.689644584634562
3.000546695000139,1.7783707691411956,1.7783707691411956,1.8055454225831216
3.5006437700003517,1.975001642627544,1.975001642627544,1.9041141906893162
4.000736124000014,1.9731404607657936,1.9731404607657936,2.0059648127786445
4.500835181000184,2.072001263366544,2.072001263366544,2.1394941169320414
5.000927349999984,2.231309927992145,2.231309927992145,2.250762294489321
5.5010107410003,2.4460172899081805,2.4460172899081805,2.3990163746570965
6.001101928000026,2.5313425304139403,2.5313425304139403,2.5146327253839216
6.501186300999962,2.7144108616046725,2.7144108616046725,2.636803734899744
7.001281766000375,2.6500830170006693,2.6500830170006693,2.7511217480421233
7.50138362000007,2.842164975571257,2.842164975571257,2.8538418031787445
8.001479548000134,3.017607355620078,3.017607355620078,2.943522131079571
8.501566679999996,3.044942806097046,3.044942806097046,3.0608137501317665
9.001638387000185,3.1628125011088057,3.1628125011088057,3.143209185664413
9.501722464000068,3.236541112261644,3.236541112261644,3.2253914936983583
10.001823207000141,3.2541421532344903,3.2541421532344903,3.3169205070322505
10.501897284000279,3.4285188957898045,3.4285188957898045,3.3901905882096557
11.00197523199995,3.5025878727665067,3.5025878727665067,3.4473563774572944
11.502051717000086,3.529162906995833,3.529162906995833,3.6398299211961556
12.002129535000222,3.522370058499839,3.522370058499839,3.93347940303101
12.502208705000157,4.216509871928797,4.216509871928797,4.34564545969991
13.002283764000365,4.896766304964072,4.896766304964072,4.883160173096289
13.502362119000281,5.563418156111009,5.563418156111009,5.550083789836213
14.002437049000036,6.216736473977725,6.216736473977725,6.203668728718489
14.502509497000117,6.856988142199462,6.856988142199462,6.844182048746035
15.002580927000054,7.484434566340177,7.484434566340177,7.47188552883414
15.502658134000287,8.099332905101804,8.099332905101804,8.087034744778144
16.002750989000106,8.701935556551536,8.701935556551536,8.689880946544827
16.502822049000315,9.292482553697743,9.292482553697743,9.280670243604707
17.002893424000376,9.871219151032877,9.871219151032877,9.859643624735996
17.502964927999983,10.43838105163957,10.43838105163957,10.427037041109873
18.003037210000002,10.994199810758255,10.994199810758255,10.98308276657566
18.503113529000075,11.538902638420923,11.538902638420923,11.528007613580446
19.003187700000126,12.072711181026673,12.072711181026673,12.062034056730443
19.503260389000385,12.595843386056806,12.595843386056806,12.585380038252302
20.003336022999974,13.10851326738956,13.10851326738956,13.098259104958064
20.503411176000103,13.610929718367547,13.610929718367547,13.610681976200237
21.003487124999992,14.103297971949733,14.103297971949733,14.112856472146078
21.50355990700018,14.634825537237536,14.634825537237536,14.473731378881515
22.003635949,15.10671586578602,15.10671586578602,14.827388718516113
22.50371132400005,14.912887801066743,14.912887801066743,15.183774256372933
23.003783903000112,15.379216416540528,15.379216416540528,15.523230731871715
23.50385694500028,15.885225661233838,15.885225661233838,15.85589803702157
24.003932950000035,16.332107914731445,16.332107914731445,16.181911945518635
24.504007455000195,16.77005239153529,16.77005239153529,16.370149502339235
25.004081108000268,16.542957343552082,16.542957343552082,16.413564741278947
25.504155224999977,16.320404200643516,16.320404200643516,16.32485551006639
26.004227989000356,16.102301855932403,16.102301855932403,16.062256694613524
26.504301198000118,15.888561758668637,15.888561758668637,15.76597585507027
27.004375426000028,15.457058314270991,15.457058314270991,15.417112907434056
27.504450394000287,15.06155314583579,15.06155314583579,15.076117135742425
28.00452514000017,14.576089462462464,14.576089462462464,14.76443046602894
28.50460214600025,14.397322997474232,14.397322997474232,14.538939000970325
29.004676207000106,14.330128410101224,14.330128410101224,14.420584042094884
29.504754008999953,14.329600988977909,14.329600988977909,14.41115889433157
30.00483064400032,14.469778351458585,14.469778351458585,14.472376772804058
30.504905057000087,14.528963723645898,14.528963723645898,14.329250851434299
31.004981045000026,14.703412389836672,14.703412389836672,14.18456529007565
31.50505490200021,13.614498803252433,13.614498803252433,14.009923346875464
32.00512952000008,13.606173182184666,13.606173182184666,13.796747516470168
32.505202915000154,13.59656863545765,13.59656863545765,13.544989236343051
33.00527810600033,13.463084571619422,13.463084571619422,13.492428015678659
33.50535859299998,13.44462098920108,13.44462098920108,13.495811893949329
34.00543832200037,13.351692699930478,13.351692699930478,13.59954167697174
34.50551525400033,13.62309257353801,13.62309257353801,13.56264000841461
35.00559185300017,14.11521755056971,14.11521755056971,13.566573686100474
35.505620546000046,13.278576228833767,13.278576228833767,13.540186384664413
36.00569307100022,13.464289377630411,13.464289377630411,13.553685469599221
36.50577118800039,13.21975619275017,13.21975619275017,13.59334664493908
37.005844454,13.69058799821205,13.69058799821205,13.694421939655896
37.50592035,14.313523427269011,14.313523427269011,13.856136235917152
38.005997375000334,13.783952702417832,13.783952702417832,14.18159071733532
38.50607647400012,14.2728608589367,14.2728608589367,14.357574092447104
39.006153907000225,14.847028599841009,14.847028599841009,14.398194173299874
39.50623082100038,14.570504873770972,14.570504873770972,14.53368273275888
40.0063048840002,14.51662383153286,14.51662383153286,14.509283760048268
40.50637681700027,14.461395499712856,14.461395499712856,14.305198750559668
41.00644950900005,14.150865995383649,14.150865995383649,14.116391366922045
41.50652329400008,13.826603552398003,13.826603552398003,13.948983806683595
42.006599894000374,13.626467955582855,13.626467955582855,13.726236531448865
42.50667475299997,13.67958603034061,13.67958603034061,13.52241288411085
43.006751223000265,13.3476591235392,13.3476591235392,13.353589925951194
43.50682993500004,13.131747758693574,13.131747758693574,13.227307300224675
44.0069065900002,12.982488761599736,12.982488761599736,13.191338237149555
44.5069798200002,12.995054826950255,12.995054826950255,13.320672956544078
45.007057753000026,13.499740714965013,13.499740714965013,13.590129971441286
45.50713381700007,13.994332720511816,13.994332720511816,13.984440022781218
46.00720991700019,14.479032833179604,14.479032833179604,14.469338015799513
46.50728611000022,14.9540390182994,14.9540390182994,14.944538040609412
47.0073597100004,15.41954479204174,15.41954479204174,15.283859443288913
47.507436515000336,15.875740839014515,15.875740839014515,15.513639596885389
48.007512171000144,15.690939733909302,15.690939733909302,15.621098136450499
48.50758579000012,15.627933601161994,15.627933601161994,15.610959579711587
49.00766213099996,15.491331716124938,15.491331716124938,15.544764264885854
49.50773662100028,15.36885200834719,15.36885200834719,15.496039108544707
