sample,time_s,sensor,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_radps,gyro_y_radps,gyro_z_radps,quat_i,quat_j,quat_k,quat_real,roll_deg,pitch_deg,yaw_deg
0,0.04005657499988047,bno085,-0.03515625,0.0234375,9.625,-0.001953125,0.0,0.0,0.001220703125,0.00164794921875,0.0,1.0,0.0,-0.0,-1.939056967012456e-09
1,0.08005639099997097,bno085,-0.07421875,0.0234375,9.66796875,0.005859375,0.001953125,0.001953125,0.001220703125,0.00164794921875,0.0001220703125,1.0,-2.3047913536225617e-05,1.708124446012411e-05,0.013988225612578401
2,0.12005494699997143,bno085,-0.11328125,-0.0546875,9.66796875,0.0,-0.001953125,0.0,0.001220703125,0.00164794921875,0.0001220703125,1.0,-2.3047913536225617e-05,1.708124446012411e-05,0.013988225612578401
3,0.16005539299999327,bno085,-0.03515625,0.0234375,9.6640625,0.0,0.00390625,0.0,0.001220703125,0.00164794921875,0.0,1.0,0.0,-0.0,-1.939056967012456e-09
4,0.20005568999999923,bno085,-0.03515625,0.0234375,9.6640625,0.0,0.00390625,0.0,0.00079345703125,0.00201416015625,0.0,1.0,-0.04895880015298177,0.04196472384118736,-0.00014983973123860003
5,0.24005556099996284,bno085,0.00390625,-0.015625,9.625,0.005859375,0.001953125,-0.001953125,0.00079345703125,0.00201416015625,0.0,1.0,-0.04895880015298177,0.04196472384118736,-0.00014983973123860003
6,0.2800552839999,bno085,-0.07421875,-0.015625,9.625,-0.001953125,0.0,0.0,0.00042724609375,0.00201416015625,0.0001220703125,1.0,-0.09094150189678059,0.041992697701100146,0.013753841111167535
7,0.3200550999999905,bno085,-0.07421875,0.0234375,9.66796875,-0.001953125,0.0,0.0,0.00042724609375,0.00201416015625,0.0001220703125,1.0,-0.09094150189678059,0.041992697701100146,0.013753841111167535
8,0.36005476799982716,bno085,-0.07421875,0.0234375,9.66796875,0.0,0.0,-0.001953125,0.00042724609375,0.00244140625,0.0,1.0,-0.09092359767589502,0.09092370606461185,-0.0003329752454965425
9,0.40005541699997593,bno085,-0.03515625,0.0234375,9.625,0.0,0.0,-0.001953125,0.00042724609375,0.00244140625,0.0,1.0,-0.09092359767589502,0.09092370606461185,-0.0003329752454965425
10,0.44005506599978617,bno085,-0.07421875,0.0234375,9.62890625,-0.005859375,0.0,-0.001953125,0.00042724609375,0.00244140625,0.0,1.0,-0.09092359767589502,0.09092370606461185,-0.0003329752454965425
11,0.4800544559998343,bno085,-0.03515625,0.0234375,9.6640625,0.0,0.0,0.0,0.0003662109375,0.00244140625,-6.103515625e-05,1.0,-0.09791176303168078,0.09090915159167226,-0.007344158633124392
12,0.5200552719998086,bno085,-0.07421875,-0.015625,9.6640625,0.0,0.0,-0.001953125,0.0003662109375,0.00244140625,-6.103515625e-05,1.0,-0.09791176303168078,0.09090915159167226,-0.007344158633124392
13,0.5600549019998198,bno085,-0.03515625,0.0234375,9.625,0.005859375,0.0,0.001953125,0.0008544921875,0.00244140625,0.0,1.0,-0.041964570323007204,0.09092399788086546,-0.0002134471407495673
14,0.6000556619999315,bno085,-0.03515625,-0.015625,9.66796875,0.001953125,-0.001953125,0.001953125,0.00079345703125,0.00244140625,0.0,1.0,-0.04895872063118146,0.0909239561928896,-0.00023052258428486462
15,0.6400547559999268,bno085,-0.03515625,0.0234375,9.625,0.001953125,-0.001953125,0.001953125,0.00079345703125,0.00244140625,0.0,1.0,-0.04895872063118146,0.0909239561928896,-0.00023052258428486462
16,0.6800568119999753,bno085,-0.03515625,0.0234375,9.625,0.001953125,0.0,0.0,0.00079345703125,0.00244140625,0.0,1.0,-0.04895872063118146,0.0909239561928896,-0.00023052258428486462
17,0.7200551469998118,bno085,-0.03515625,0.0234375,9.625,0.001953125,-0.001953125,0.0,0.00079345703125,0.00201416015625,0.0,1.0,-0.04895880015298177,0.04196472384118736,-0.00014983973123860003
18,0.7600557959999605,bno085,-0.03515625,0.0234375,9.6640625,0.001953125,-0.00390625,0.0,0.00079345703125,0.00201416015625,0.0,1.0,-0.04895880015298177,0.04196472384118736,-0.00014983973123860003
19,0.80005607399994,bno085,-0.03515625,0.0234375,9.6640625,-0.00390625,0.0,0.0,0.0008544921875,0.00201416015625,0.0,1.0,-0.04196466662411882,0.04196475823385382,-0.00013575250428103706
20,0.8400550750000093,bno085,-0.07421875,0.0234375,9.66796875,-0.00390625,0.0,0.0,0.00079345703125,0.00201416015625,0.0,1.0,-0.04895880015298177,0.04196472384118736,-0.00014983973123860003
21,0.8800559279998197,bno085,-0.07421875,0.0234375,9.66796875,-0.00390625,0.0,0.0,0.00079345703125,0.00201416015625,-6.103515625e-05,1.0,-0.0489498343561054,0.041953199254166844,-0.00714394804062153
22,0.9200551330000053,bno085,-0.03515625,0.0234375,9.6640625,0.0,0.00390625,-0.001953125,0.001220703125,0.00201416015625,0.0,1.0,1.6883711886944692e-07,0.04196496458967331,-5.122914253595951e-05
23,0.960054818999879,bno085,-0.03515625,0.0234375,9.6640625,-0.00390625,0.0,0.0,0.001220703125,0.00201416015625,0.0,1.0,1.6883711886944692e-07,0.04196496458967331,-5.122914253595951e-05
24,1.0000546349999695,bno085,-0.03515625,0.0234375,9.6640625,-0.001953125,0.001953125,-0.001953125,0.00079345703125,0.00244140625,0.0,1.0,-0.04895872063118146,0.0909239561928896,-0.00023052258428486462
25,1.0400553029999173,bno085,-0.03515625,0.0234375,9.6640625,-0.001953125,0.001953125,-0.001953125,0.00079345703125,0.00244140625,0.0,1.0,-0.04895872063118146,0.0909239561928896,-0.00023052258428486462
26,1.0800556929998493,bno085,-0.03515625,0.0234375,9.6640625,0.001953125,-0.001953125,-0.00390625,0.00079345703125,0.00201416015625,0.0,1.0,-0.04895880015298177,0.04196472384118736,-0.00014983973123860003
27,1.120054416999892,bno085,-0.03515625,0.0234375,9.6640625,-0.001953125,-0.001953125,0.001953125,0.00079345703125,0.00201416015625,0.0,1.0,-0.04895880015298177,0.04196472384118736,-0.00014983973123860003
28,1.1600533809998979,bno085,-0.03515625,0.0234375,9.6640625,0.001953125,-0.00390625,0.0,0.00079345703125,0.00201416015625,0.0,1.0,-0.04895880015298177,0.04196472384118736,-0.00014983973123860003
29,1.2000532339998244,bno085,-0.03515625,0.0234375,9.625,0.0,0.0,0.0,0.00079345703125,0.00201416015625,0.0,1.0,-0.04895880015298177,0.04196472384118736,-0.00014983973123860003
30,1.2400544949998675,bno085,-0.03515625,-0.015625,9.66796875,0.0,0.0,0.0,0.00079345703125,0.00201416015625,0.0,1.0,-0.04895880015298177,0.04196472384118736,-0.00014983973123860003
31,1.2800547370000004,bno085,-0.03515625,0.0234375,9.625,0.0,0.0,0.0,0.0008544921875,0.00201416015625,0.0,1.0,-0.04196466662411882,0.04196475823385382,-0.00013575250428103706
32,1.3200541819999216,bno085,-0.03515625,0.0234375,9.625,0.0,0.0,0.0,0.0008544921875,0.00201416015625,0.0,1.0,-0.04196466662411882,0.04196475823385382,-0.00013575250428103706
33,1.3600533499998164,bno085,-0.03515625,0.0234375,9.625,0.0,0.0,0.0,0.0008544921875,0.00201416015625,0.0,1.0,-0.04196466662411882,0.04196475823385382,-0.00013575250428103706
34,1.4000548329997855,bno085,-0.03515625,0.0234375,9.6640625,0.0,0.0,0.0,0.0008544921875,0.001953125,0.0,1.0,-0.041964682882673965,0.03497059573194687,-0.00012465330423909937
35,1.4400532049999129,bno085,-0.03515625,0.0234375,9.6640625,0.0,0.0,0.0,0.0008544921875,0.001953125,0.0,1.0,-0.041964682882673965,0.03497059573194687,-0.00012465330423909937
36,1.4800553729999137,bno085,-0.03515625,-0.015625,9.62890625,0.0,0.0,0.0,0.0008544921875,0.001953125,0.0,1.0,-0.041964682882673965,0.03497059573194687,-0.00012465330423909937
37,1.5200546699998085,bno085,-0.03515625,0.0234375,9.625,0.0,0.0,0.0,0.0008544921875,0.00189208984375,0.0,1.0,-0.04196469976654396,0.027976436565027907,-0.00011355411114346397
38,1.5600535419998778,bno085,-0.03515625,0.0234375,9.6640625,0.0,0.0,0.0,0.0008544921875,0.00189208984375,0.0,1.0,-0.04196469976654396,0.027976436565027907,-0.00011355411114346397
39,1.6000551169997834,bno085,-0.03515625,0.0234375,9.625,0.0,0.0,0.0,0.0008544921875,0.00189208984375,0.0,1.0,-0.04196469976654396,0.027976436565027907,-0.00011355411114346397
40,1.6400537849999637,bno085,-0.07421875,0.0234375,9.66796875,0.0,0.0,0.0,0.0008544921875,0.00189208984375,0.0,1.0,-0.04196469976654396,0.027976436565027907,-0.00011355411114346397
41,1.6800551569999698,bno085,-0.07421875,0.0234375,9.62890625,0.0,0.0,0.0,0.0008544921875,0.00189208984375,0.0,1.0,-0.04196469976654396,0.027976436565027907,-0.00011355411114346397
