sample,time_s,sensor,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_radps,gyro_y_radps,gyro_z_radps,quat_i,quat_j,quat_k,quat_real,roll_deg,pitch_deg,yaw_deg
0,0.0400561349997588,bno085,0.04296875,0.05859375,9.66796875,0.00390625,0.0,0.0,0.001220703125,-0.0020751953125,-0.0001220703125,1.0,-3.373932405641876e-10,-1.9846661209658093e-10,3.373932405757577e-09
1,0.08005482699991262,bno085,0.00390625,0.0234375,9.66796875,0.001953125,0.001953125,0.001953125,0.001220703125,-0.0015869140625,-0.0001220703125,1.0,-7.113950658228728e-06,0.055953286920210954,-6.827811619851179e-05
2,0.12005364699962229,bno085,0.00390625,0.0234375,9.66796875,0.001953125,0.0,0.0,0.001220703125,-0.0015869140625,-0.0001220703125,1.0,-7.113950658228728e-06,0.055953286920210954,-6.827811619851179e-05
3,0.16005398699962825,bno085,0.00390625,0.0234375,9.66796875,0.00390625,0.0,0.0,0.001220703125,-0.00164794921875,-6.103515625e-05,1.0,1.1276709899000197e-05,0.04896767622013902,0.006934374174036592
4,0.20005412199998318,bno085,0.04296875,0.0234375,9.66796875,0.00390625,0.0,0.0,0.001220703125,-0.00164794921875,-6.103515625e-05,1.0,1.1276709899000197e-05,0.04896767622013902,0.006934374174036592
5,0.24005416599993623,bno085,0.00390625,0.0234375,9.66796875,0.00390625,0.0,0.001953125,0.00067138671875,-0.00189208984375,-0.56243896484375,0.82684326171875,-0.08700642726560857,-0.17872461969632114,-68.43507719365293
6,0.28005611599974145,bno085,0.00390625,0.0234375,9.66796875,-0.00390625,0.0,-0.001953125,0.00067138671875,-0.001953125,-0.56243896484375,0.82684326171875,-0.08307269441132857,-0.18450774058654354,-68.43507642134284
7,0.3200546029997895,bno085,0.00390625,0.0234375,9.62890625,-0.005859375,0.001953125,0.0,0.00067138671875,-0.001953125,-0.56243896484375,0.82684326171875,-0.08307269441132857,-0.18450774058654354,-68.43507642134284
8,0.360055349999584,bno085,0.04296875,0.0234375,9.62890625,0.001953125,0.0,0.0,0.00091552734375,-0.0015869140625,-0.56243896484375,0.82684326171875,-0.08354274103697094,-0.1340742886875266,-68.43518412738122
9,0.400053929999558,bno085,0.00390625,0.0234375,9.66796875,0.001953125,0.0,0.0,0.00091552734375,-0.0015869140625,-0.56243896484375,0.82684326171875,-0.08354274103697094,-0.1340742886875266,-68.43518412738122
10,0.4400533249995533,bno085,0.04296875,0.0234375,9.66796875,-0.00390625,0.0,0.0,0.00018310546875,-0.00115966796875,-0.56243896484375,0.82684326171875,-0.1804757814338511,-0.14079721931376754,-68.43497485807362
11,0.4800556459999825,bno085,0.00390625,0.0234375,9.66796875,0.0,0.0,-0.001953125,0.00018310546875,-0.00115966796875,-0.56243896484375,0.82684326171875,-0.1804757814338511,-0.14079721931376754,-68.43497485807362
12,0.520054818999597,bno085,0.00390625,0.0234375,9.66796875,0.001953125,0.001953125,-0.001953125,0.00018310546875,-0.00115966796875,-0.56243896484375,0.82684326171875,-0.1804757814338511,-0.14079721931376754,-68.43497485807362
13,0.560054528999899,bno085,0.04296875,0.0234375,9.62890625,0.001953125,0.0,0.001953125,0.00018310546875,-0.0010986328125,-0.56243896484375,0.82684326171875,-0.18440949024117087,-0.13501416512786515,-68.43498720783722
14,0.6000553679996301,bno085,0.04296875,0.0234375,9.62890625,0.001953125,0.0,0.001953125,0.000244140625,-0.00115966796875,-0.56243896484375,0.82684326171875,-0.17469269742470653,-0.13686351109403586,-68.43499655075216
15,0.6400562439998794,bno085,0.00390625,0.0234375,9.66796875,-0.00390625,0.0,0.0,0.00018310546875,-0.00115966796875,-0.56243896484375,0.82684326171875,-0.1804757814338511,-0.14079721931376754,-68.43497485807362
16,0.6800533609998638,bno085,0.00390625,0.0234375,9.66796875,0.0,-0.001953125,0.0,0.00018310546875,-0.00115966796875,-0.56243896484375,0.82684326171875,-0.1804757814338511,-0.14079721931376754,-68.43497485807362
17,0.7200557559999652,bno085,0.00390625,0.0234375,9.66796875,0.005859375,-0.00390625,0.001953125,0.000244140625,-0.001220703125,-0.56243896484375,0.82684326171875,-0.17075898680774237,-0.1426465703178784,-68.43498515187225
18,0.7600557619998654,bno085,0.00390625,0.0234375,9.66796875,0.00390625,0.0,0.0,0.000244140625,-0.001220703125,-0.56243896484375,0.82684326171875,-0.17075898680774237,-0.1426465703178784,-68.43498515187225
19,0.8000540829998499,bno085,0.04296875,0.0234375,9.66796875,0.0,0.001953125,0.0,0.000244140625,-0.001220703125,-0.56243896484375,0.82684326171875,-0.17075898680774237,-0.1426465703178784,-68.43498515187225
20,0.8400534039997183,bno085,0.00390625,0.0234375,9.66796875,0.0,0.001953125,0.0,0.000244140625,-0.001220703125,-0.56243896484375,0.82684326171875,-0.17075898680774237,-0.1426465703178784,-68.43498515187225
21,0.8800539839999146,bno085,0.00390625,0.0234375,9.66796875,-0.00390625,0.0,0.001953125,0.00030517578125,-0.001220703125,-0.56243896484375,0.82684326171875,-0.16497590268845652,-0.13871286283043227,-68.43500700135345
22,0.9200565089995507,bno085,0.04296875,0.0234375,9.66796875,0.001953125,0.0,0.0,0.0003662109375,-0.00128173828125,-0.56243896484375,0.82684326171875,-0.1552591057225995,-0.14056222033897595,-68.43501855964068
23,0.9600545889998102,bno085,0.00390625,0.0234375,9.66796875,-0.005859375,-0.001953125,0.001953125,0.0003662109375,-0.00128173828125,-0.56243896484375,0.82684326171875,-0.1552591057225995,-0.14056222033897595,-68.43501855964068
24,1.0000577989999329,bno085,0.04296875,0.0234375,9.66796875,-0.00390625,0.0,0.0,0.0003662109375,-0.00128173828125,-0.56243896484375,0.82684326171875,-0.1552591057225995,-0.14056222033897595,-68.43501855964068
25,1.0400556749996213,bno085,0.00390625,0.0234375,9.66796875,-0.00390625,0.0,0.0,0.00054931640625,-0.00140380859375,-0.57659912109375,0.8170166015625,-0.12674564529608762,-0.1472167141609648,-70.40883973873026
26,1.080054717999701,bno085,0.00390625,0.0234375,9.66796875,-0.00390625,0.0,-0.001953125,0.00054931640625,-0.00140380859375,-0.57659912109375,0.8170166015625,-0.12674564529608762,-0.1472167141609648,-70.40883973873026
27,1.1200537059999078,bno085,0.00390625,0.0234375,9.66796875,0.0,-0.001953125,0.001953125,0.000732421875,-0.00103759765625,-0.57659912109375,0.8170166015625,-0.13379918809930744,-0.10083247202592042,-70.4089621158171
28,1.1600551009996707,bno085,0.04296875,0.0234375,9.66796875,0.001953125,-0.001953125,0.001953125,0.000732421875,-0.00103759765625,-0.57659912109375,0.8170166015625,-0.13379918809930744,-0.10083247202592042,-70.4089621158171
29,1.2000542919995496,bno085,0.04296875,0.0234375,9.66796875,0.001953125,0.001953125,-0.001953125,0.000732421875,-0.00103759765625,-0.57659912109375,0.8170166015625,-0.13379918809930744,-0.10083247202592042,-70.4089621158171
30,1.2400550759998623,bno085,0.00390625,0.0234375,9.66796875,0.001953125,0.001953125,-0.001953125,0.00079345703125,-0.00103759765625,-0.57666015625,0.8170166015625,-0.1280816247834936,-0.096841608767759,-70.41849765789658
31,1.2800553589995616,bno085,0.00390625,0.0234375,9.66796875,0.0,0.0,0.0,0.00054931640625,-0.00140380859375,-0.57666015625,0.8170166015625,-0.12673985697403078,-0.14726029974815952,-70.41835379224035
32,1.3200559769998108,bno085,0.00390625,0.0234375,9.66796875,0.0,0.0,0.0,0.00054931640625,-0.00140380859375,-0.57666015625,0.8170166015625,-0.12673985697403078,-0.14726029974815952,-70.41835379224035
33,1.3600557049999225,bno085,0.00390625,0.0234375,9.66796875,0.0,0.0,0.0,0.00054931640625,-0.00140380859375,-0.57666015625,0.8170166015625,-0.12673985697403078,-0.14726029974815952,-70.41835379224035
34,1.4000534329998118,bno085,0.00390625,0.0234375,9.66796875,0.0,0.0,0.0,0.00054931640625,-0.0013427734375,-0.57666015625,0.8170166015625,-0.1307730435029123,-0.14154595173046736,-70.41836142494306
35,1.4400556429995959,bno085,0.00390625,0.0234375,9.66796875,0.0,0.0,0.0,0.0006103515625,-0.0013427734375,-0.57666015625,0.8170166015625,-0.12505869084756488,-0.13751278275518936,-70.41838364056092
36,1.48005337099994,bno085,0.00390625,0.0234375,9.66796875,0.0,0.0,0.0,0.0006103515625,-0.0013427734375,-0.57666015625,0.8170166015625,-0.12505869084756488,-0.13751278275518936,-70.41838364056092
37,1.52005459899965,bno085,0.00390625,0.0234375,9.66796875,0.0,0.0,0.0,0.0006103515625,-0.00128173828125,-0.57666015625,0.8170166015625,-0.1290918797919536,-0.131798439605789,-70.41839193472131
38,1.5600539759998355,bno085,0.04296875,0.0234375,9.66796875,0.0,0.0,0.0,0.0006103515625,-0.00128173828125,-0.57666015625,0.8170166015625,-0.1290918797919536,-0.131798439605789,-70.41839193472131
39,1.600054629999704,bno085,0.00390625,0.0234375,9.66796875,0.0,0.0,0.0,0.0006103515625,-0.00128173828125,-0.57666015625,0.8170166015625,-0.1290918797919536,-0.131798439605789,-70.41839193472131
40,1.6400534879999213,bno085,0.00390625,0.0234375,9.66796875,0.0,0.0,0.0,0.0006103515625,-0.00128173828125,-0.57666015625,0.8170166015625,-0.1290918797919536,-0.131798439605789,-70.41839193472131
41,1.6800556049997795,bno085,0.00390625,0.0234375,9.66796875,0.0,0.0,0.0,0.00079345703125,-0.00103759765625,-0.55999755859375,0.8284912109375,-0.13089822173255597,-0.08870207486448371,-68.09702178953813
42,1.720055943999796,bno085,0.04296875,0.0234375,9.66796875,0.0,0.0,0.0,0.00079345703125,-0.00103759765625,-0.55999755859375,0.8284912109375,-0.13089822173255597,-0.08870207486448371,-68.09702178953813
43,1.7600554129999182,bno085,0.00390625,0.0234375,9.66796875,0.0,0.0,0.0,0.00079345703125,-0.00103759765625,-0.55999755859375,0.8284912109375,-0.13089822173255597,-0.08870207486448371,-68.09702178953813
44,1.8000534749999133,bno085,0.00390625,0.0234375,9.66796875,0.0,0.0,0.0,0.00079345703125,-0.00103759765625,-0.55999755859375,0.8284912109375,-0.13089822173255597,-0.08870207486448371,-68.09702178953813
45,1.8400534259999404,bno085,0.00390625,0.0234375,9.66796875,0.0,0.0,0.0,0.00079345703125,-0.00103759765625,-0.55999755859375,0.8284912109375,-0.13089822173255597,-0.08870207486448371,-68.09702178953813
46,1.8800534499996502,bno085,0.00390625,0.0234375,9.66796875,0.0,0.0,0.0,0.00079345703125,-0.00103759765625,-0.55999755859375,0.8284912109375,-0.13089822173255597,-0.08870207486448371,-68.09702178953813
47,1.9200558259999525,bno085,0.04296875,0.0234375,9.66796875,0.0,0.0,0.0,0.00079345703125,-0.00103759765625,-0.55999755859375,0.8284912109375,-0.13089822173255597,-0.08870207486448371,-68.09702178953813
48,1.9600558699999056,bno085,0.04296875,0.0234375,9.62890625,0.0,0.0,0.0,0.00079345703125,-0.00103759765625,-0.55999755859375,0.8284912109375,-0.13089822173255597,-0.08870207486448371,-68.09702178953813
49,2.000055338999573,bno085,0.04296875,0.0234375,9.66796875,0.0,0.0,0.0,0.00079345703125,-0.00103759765625,-0.55999755859375,0.8284912109375,-0.13089822173255597,-0.08870207486448371,-68.09702178953813
50,2.040053825999621,bno085,0.00390625,0.0234375,9.66796875,0.0,0.0,0.0,0.00079345703125,-0.00103759765625,-0.55999755859375,0.8284912109375,-0.13089822173255597,-0.08870207486448371,-68.09702178953813
51,2.080054516999553,bno085,0.04296875,0.0234375,9.66796875,0.0,0.0,0.0,0.00079345703125,-0.00103759765625,-0.55999755859375,0.8284912109375,-0.13089822173255597,-0.08870207486448371,-68.09702178953813
52,2.120055152999612,bno085,0.00390625,0.0234375,9.66796875,0.0,0.0,0.0,0.000732421875,-0.00103759765625,-0.55999755859375,0.8284912109375,-0.13669280999542435,-0.09261870325040503,-68.09700043490263
53,2.1600542699998186,bno085,0.00390625,0.0234375,9.66796875,0.0,0.0,0.0,0.000732421875,-0.00103759765625,-0.55999755859375,0.8284912109375,-0.13669280999542435,-0.09261870325040503,-68.09700043490263
54,2.200053812999613,bno085,0.00390625,0.0234375,9.66796875,0.0,0.0,0.0,0.000732421875,-0.0010986328125,-0.55999755859375,0.8284912109375,-0.1327761539758551,-0.09841328038430952,-68.0969886178584
55,2.2400543379999363,bno085,0.00390625,0.0234375,9.66796875,0.0,0.0,0.0,0.000732421875,-0.0010986328125,-0.55999755859375,0.8284912109375,-0.1327761539758551,-0.09841328038430952,-68.0969886178584
56,2.2800559729998895,bno085,0.00390625,0.0234375,9.66796875,0.0,0.0,0.0,0.000732421875,-0.0010986328125,-0.55999755859375,0.8284912109375,-0.1327761539758551,-0.09841328038430952,-68.0969886178584
57,2.320054904999779,bno085,0.04296875,0.0234375,9.66796875,0.0,0.0,0.0,0.000732421875,-0.0010986328125,-0.55999755859375,0.8284912109375,-0.1327761539758551,-0.09841328038430952,-68.0969886178584
58,2.360039429999688,bno085,0.00390625,0.0234375,9.66796875,0.0,0.0,0.0,0.000732421875,-0.0010986328125,-0.55999755859375,0.8284912109375,-0.1327761539758551,-0.09841328038430952,-68.0969886178584
59,2.400055787999918,bno085,5.21484375,0.6328125,9.546875,-0.033203125,1.1484375,0.05078125,0.000732421875,-0.0010986328125,-0.55999755859375,0.8284912109375,-0.1327761539758551,-0.09841328038430952,-68.0969886178584
60,2.440055886999744,bno085,0.38671875,-0.1328125,9.31640625,-0.033203125,1.1484375,0.05078125,0.01275634765625,0.018310546875,-0.55889892578125,0.82891845703125,-0.23413968872993457,2.516593168775235,-67.97543282844602
61,2.4800561329998345,bno085,-1.375,-0.36328125,9.24609375,-0.115234375,1.517578125,0.044921875,0.03240966796875,0.051025390625,-0.5576171875,0.827880859375,-0.4620711316218884,6.888131423638535,-67.95350039095523
62,2.5200545839998085,bno085,-1.4140625,0.0234375,9.08984375,-0.02734375,1.5,-0.107421875,0.05133056640625,0.08233642578125,-0.5552978515625,0.82598876953125,-0.6662473911191509,11.089330763970404,-67.90339782463532
63,2.560054533999846,bno085,-2.1015625,0.09765625,8.93359375,-0.064453125,1.61328125,-0.009765625,0.05133056640625,0.08233642578125,-0.5552978515625,0.82598876953125,-0.6662473911191509,11.089330763970404,-67.90339782463532
64,2.6000547629996618,bno085,-1.98828125,-0.62890625,8.66796875,-0.13671875,1.775390625,0.08203125,0.0714111328125,0.11614990234375,-0.552001953125,0.82257080078125,-0.9230785758775996,15.619757297669093,-67.87465212847302
65,2.640054971999689,bno085,-2.6796875,-0.0546875,8.51171875,-0.13671875,1.775390625,0.08203125,0.0938720703125,0.15338134765625,-0.54791259765625,0.8170166015625,-1.1915070229965463,20.661139201785435,-67.95055393499091
66,2.6800550529997054,bno085,-3.21484375,-0.0546875,8.2421875,-0.0703125,1.966796875,0.015625,0.11810302734375,0.19390869140625,-0.5413818359375,0.8095703125,-1.5006879575719376,26.18133379701787,-67.94523099794206
67,2.7200552809999863,bno085,-3.90234375,-0.32421875,7.359375,-0.205078125,2.125,0.119140625,0.1444091796875,0.23736572265625,-0.53289794921875,0.79925537109375,-1.8226642979973977,32.19151418243287,-67.97674165692425
68,2.7600545089999287,bno085,-4.4765625,-0.3984375,6.83203125,-0.1171875,2.435546875,0.025390625,0.1444091796875,0.23736572265625,-0.53289794921875,0.79925537109375,-1.8226642979973977,32.19151418243287,-67.97674165692425
69,2.800054922999607,bno085,-5.12890625,-0.09375,6.40625,-0.20703125,2.75390625,0.103515625,0.1737060546875,0.28643798828125,-0.5220947265625,0.78436279296875,-2.3156952168143805,39.06221385977378,-68.20489027893626
70,2.840054465999856,bno085,-5.4375,-0.1328125,5.75,-0.20703125,2.75390625,0.103515625,0.20623779296875,0.34051513671875,-0.507080078125,0.76446533203125,-2.9146831088790774,46.825458259789684,-68.48286660085255
71,2.8800560089998726,bno085,-6.89453125,0.17578125,3.953125,-0.1171875,3.130859375,0.01171875,0.24176025390625,0.39996337890625,-0.4873046875,0.7376708984375,-3.848961823882679,55.61366176621018,-69.06299377515703
72,2.9200573109997094,bno085,-6.81640625,-0.16796875,2.3828125,-0.158203125,3.515625,0.046875,0.06353759765625,0.53228759765625,-0.132568359375,0.83367919921875,-5.239628236290892,64.9106584794904,-21.5156148682148
73,2.96005500199999,bno085,-7.46484375,-0.1328125,1.46484375,-0.1875,3.880859375,0.056640625,0.06353759765625,0.53228759765625,-0.132568359375,0.83367919921875,-5.239628236290892,64.9106584794904,-21.5156148682148
74,3.0000553049999326,bno085,-8.7265625,-0.16796875,-1.6015625,-0.21875,4.208984375,0.05859375,0.07049560546875,0.609375,-0.119140625,0.78070068359375,-8.986420083593531,75.69046749001198,-24.480649754039767
75,3.0400545699999384,bno085,-8.921875,-0.24609375,-2.7890625,-0.21875,4.208984375,0.05859375,0.06719970703125,0.689697265625,-0.093994140625,0.71484375,-45.615493565181815,87.04057796191621,-58.69376130960392
76,3.0800554469997223,bno085,-9.453125,0.59765625,-4.39453125,-0.32421875,4.3671875,0.01953125,0.064453125,0.76434326171875,-0.0728759765625,0.63739013671875,-169.80237095552323,79.44470215231786,179.00442367382144
77,3.1200558419996014,bno085,-9.953125,1.28515625,-6.734375,-0.119140625,4.35546875,0.10546875,0.07012939453125,0.8287353515625,-0.05987548828125,0.55194091796875,-176.3041138084584,67.19454115164632,172.91614303861812
78,3.1600547179996283,bno085,-12.2890625,-1.51171875,-7.421875,-0.109375,3.69921875,0.103515625,0.07012939453125,0.8287353515625,-0.05987548828125,0.55194091796875,-176.3041138084584,67.19454115164632,172.91614303861812
79,3.200054001999888,bno085,-12.14453125,0.0234375,-7.5390625,-0.1015625,2.375,0.1875,0.07403564453125,0.87701416015625,-0.04815673828125,0.47222900390625,-178.1669827173107,56.45324965371967,171.44420482745423
80,3.2400535999995554,bno085,-12.06640625,-0.4765625,-7.421875,-0.1015625,2.375,0.1875,0.07684326171875,0.9051513671875,-0.040283203125,0.41619873046875,-178.940352305669,49.214598899860725,170.8779819617127
81,3.28005469899972,bno085,-9.99609375,-0.3984375,-7.1171875,-0.091796875,1.185546875,-0.103515625,0.07769775390625,0.91815185546875,-0.0355224609375,0.3868408203125,-179.32720860832922,45.508623317835585,170.69682991215214
82,3.320054778999747,bno085,-9.61328125,-0.09375,-7.23046875,0.005859375,0.21875,0.021484375,0.0784912109375,0.921142578125,-0.03460693359375,0.37969970703125,-179.41540311040754,44.61058768815453,170.58728323369866
83,3.3600550449996263,bno085,-9.30859375,-0.16796875,-7.19140625,0.01953125,-0.599609375,-0.068359375,0.0784912109375,0.921142578125,-0.03460693359375,0.37969970703125,-179.41540311040754,44.61058768815453,170.58728323369866
84,3.4000564579996535,bno085,-8.15625,0.0234375,-7.23046875,0.056640625,-1.12109375,-0.013671875,0.07696533203125,0.916259765625,-0.03643798828125,0.391357421875,-179.20361205111612,46.077926892472796,170.82545947338477
85,3.440054871999564,bno085,-8.078125,0.0234375,-6.88671875,0.056640625,-1.12109375,-0.013671875,0.07598876953125,0.90545654296875,-0.03973388671875,0.41571044921875,-178.95854879189628,49.14851202038469,170.97878389469088
86,3.480054932999792,bno085,-7.66015625,-0.09375,-6.38671875,0.046875,-1.3671875,-0.013671875,0.07476806640625,0.89093017578125,-0.0439453125,0.44580078125,-178.5944900195698,53.00337009591096,171.21129921322355
87,3.520055198999671,bno085,-7.73828125,0.21484375,-6.42578125,0.025390625,-1.384765625,-0.05859375,0.07342529296875,0.87506103515625,-0.04827880859375,0.47601318359375,-178.1389404408182,56.938187010623615,171.5298580686096
88,3.5600547789999837,bno085,-7.39453125,-0.1328125,-5.5078125,0.078125,-1.216796875,-0.01171875,0.07342529296875,0.87506103515625,-0.04827880859375,0.47601318359375,-178.1389404408182,56.938187010623615,171.5298580686096
89,3.600057265999567,bno085,-7.234375,0.09765625,-5.125,0.099609375,-0.908203125,-0.017578125,0.07220458984375,0.85980224609375,-0.05218505859375,0.5028076171875,-177.64212604880197,60.49427930119174,171.89494727005484
90,3.640055160999964,bno085,-7.046875,0.44140625,-4.93359375,0.099609375,-0.908203125,-0.017578125,0.07110595703125,0.84783935546875,-0.0550537109375,0.5225830078125,-177.18498485033535,63.157230022485166,172.26904858493404
91,3.6800566489996527,bno085,-7.19921875,-0.28515625,-4.47265625,0.005859375,-0.513671875,-0.01953125,0.0704345703125,0.840576171875,-0.0565185546875,0.53411865234375,-176.9229030804225,64.7262349798548,172.50060043387214
92,3.720058561999849,bno085,-7.31640625,-0.16796875,-4.3203125,0.005859375,-0.107421875,-0.001953125,0.070556640625,0.8385009765625,-0.05706787109375,0.5372314453125,-176.85583158462896,65.16055564432934,172.5190363106963
93,3.7600579019999714,bno085,-7.58203125,0.05859375,-4.359375,-0.0078125,0.224609375,0.001953125,0.070556640625,0.8385009765625,-0.05706787109375,0.5372314453125,-176.85583158462896,65.16055564432934,172.5190363106963
94,3.8000569999999243,bno085,-8.19921875,-0.4375,-4.5859375,0.029296875,0.44140625,0.0390625,0.0706787109375,0.84112548828125,-0.05645751953125,0.53326416015625,-176.9605501837555,64.60729290356498,172.44623888781638
95,3.8400574689999303,bno085,-8.42578125,0.328125,-4.7421875,0.029296875,0.44140625,0.0390625,0.07177734375,0.84661865234375,-0.05548095703125,0.52435302734375,-177.2063330277059,63.40792835819217,172.15940190441356
96,3.8800561789998937,bno085,-8.34765625,-0.32421875,-4.7421875,-0.0703125,0.4765625,-0.025390625,0.07183837890625,0.85284423828125,-0.0537109375,0.514404296875,-177.45076286359247,62.05188155589086,172.02748673667608
97,3.92006027799971,bno085,-9.00390625,0.2890625,-5.046875,0.0,0.40625,0.025390625,0.07281494140625,0.858154296875,-0.0526123046875,0.50543212890625,-177.6660469618571,60.85264939902645,171.79132805887843
98,3.960058005999599,bno085,-9.00390625,-0.515625,-5.0078125,-0.033203125,0.197265625,0.00390625,0.07281494140625,0.858154296875,-0.0526123046875,0.50543212890625,-177.6660469618571,60.85264939902645,171.79132805887843
99,4.000056493999637,bno085,-8.9609375,0.0234375,-5.1640625,0.03125,0.001953125,0.017578125,0.07275390625,0.86102294921875,-0.05181884765625,0.5006103515625,-177.74733130292157,60.2065845260795,171.7650849443594
100,4.040057091999643,bno085,-8.6875,0.17578125,-5.0859375,0.03125,0.001953125,0.017578125,0.07275390625,0.86138916015625,-0.05157470703125,0.50006103515625,-177.7879291347996,60.12691826208684,171.7445142034587
