sample,time_s,sensor,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_radps,gyro_y_radps,gyro_z_radps,quat_i,quat_j,quat_k,quat_real,roll_deg,pitch_deg,yaw_deg
0,0.040058041999145644,bno085,0.16015625,-0.37109375,9.83203125,-0.00390625,0.0,0.0,-0.01458740234375,-0.01104736328125,0.22198486328125,0.974853515625,-2.7262715379765138e-05,3.599883412023627e-05,1.7915455061651401e-06
1,0.0800556210015202,bno085,0.16015625,-0.37109375,9.83203125,0.01171875,0.04296875,0.001953125,-0.0164794921875,-0.01214599609375,0.24920654296875,0.96826171875,-0.21956144211116818,-0.12247947298074313,3.2125141822705285
2,0.12005353399945307,bno085,0.16015625,-0.33203125,9.87109375,0.052734375,0.0234375,0.0,-0.0164794921875,-0.01214599609375,0.24920654296875,0.96826171875,-0.21956144211116818,-0.12247947298074313,3.2125141822705285
3,0.1600541500010877,bno085,0.12109375,-0.33203125,9.83203125,0.046875,-0.0234375,0.0,-0.01605224609375,-0.0113525390625,0.250244140625,0.968017578125,-0.14871750355748162,-0.048568949581949364,3.335637302395591
4,0.20005554399904213,bno085,0.16015625,-0.75390625,9.87109375,0.046875,-0.0234375,0.0,-0.01605224609375,-0.01153564453125,0.25152587890625,0.9676513671875,-0.15304131268466672,-0.0712107847185926,3.4863295867906743
5,0.24005415999999968,bno085,0.12109375,0.47265625,9.8671875,0.05859375,-0.06640625,0.556640625,-0.01629638671875,-0.01226806640625,0.2633056640625,0.9644775390625,-0.19433247711679671,-0.16695144641945162,4.88211368412447
6,0.28005427600146504,bno085,0.234375,-0.1796875,9.87109375,-0.02734375,0.044921875,0.001953125,-0.01788330078125,-0.01220703125,0.26568603515625,0.96380615234375,-0.36652034321866916,-0.11634568832757201,5.168060746654761
7,0.32005476300037117,bno085,0.12109375,-0.44921875,9.828125,-0.029296875,0.00390625,0.0390625,-0.01788330078125,-0.01220703125,0.26568603515625,0.96380615234375,-0.36652034321866916,-0.11634568832757201,5.168060746654761
8,0.36005508300149813,bno085,0.16015625,-0.37109375,9.87109375,-0.017578125,0.013671875,0.052734375,-0.017333984375,-0.01171875,0.26251220703125,0.9647216796875,-0.2930191018743136,-0.07363327545114946,4.791332639033965
9,0.40005436499995994,bno085,0.12109375,-0.640625,9.828125,0.001953125,0.029296875,0.083984375,-0.016845703125,-0.011474609375,0.2598876953125,0.96539306640625,-0.23337657014507843,-0.05648102573637437,4.477929897466385
10,0.4400540930000716,bno085,0.16015625,-0.41015625,9.83203125,0.001953125,0.029296875,0.083984375,-0.016357421875,-0.01141357421875,0.26129150390625,0.96502685546875,-0.17659301247088507,-0.06688059354240368,4.643853136797392
11,0.4800540420001198,bno085,0.3125,0.5859375,9.87109375,-0.005859375,0.01953125,-0.048828125,-0.0162353515625,-0.01129150390625,0.26190185546875,0.96490478515625,-0.1590640422607725,-0.05826009685156235,4.717273202255508
12,0.5200538249991951,bno085,0.04296875,-0.83203125,9.94140625,-0.0078125,-0.0078125,0.009765625,-0.0130615234375,-0.01116943359375,0.26019287109375,0.96539306640625,0.19464023907270145,-0.1360619743753905,4.508441323914887
13,0.5600539600018237,bno085,-0.109375,-0.140625,9.9765625,0.126953125,0.23046875,0.048828125,-0.0130615234375,-0.01116943359375,0.26019287109375,0.96539306640625,0.19464023907270145,-0.1360619743753905,4.508441323914887
14,0.6000541130015336,bno085,0.04296875,-0.296875,9.9375,0.083984375,0.216796875,-0.12890625,-0.00885009765625,-0.00653076171875,0.2623291015625,0.96490478515625,0.8010949826676272,0.2455002744210645,4.76418132220743
15,0.6400542480005242,bno085,-0.109375,-0.37109375,9.83203125,0.083984375,0.216796875,-0.12890625,-0.00921630859375,-0.00030517578125,0.26019287109375,0.96551513671875,0.9442819395382009,0.9511696624613254,4.527678887505586
16,0.6800591419996636,bno085,0.234375,-0.1796875,9.79296875,-0.037109375,0.14453125,-0.025390625,-0.01153564453125,0.00274658203125,0.25726318359375,0.96624755859375,0.7725475059997584,1.366199367408603,4.189810355306809
17,0.7200543690014456,bno085,-0.1875,0.0859375,10.2109375,-0.322265625,0.1015625,-0.01171875,-0.01727294921875,0.00201416015625,0.2586669921875,0.9658203125,0.11871378034006351,1.4512186965210199,4.35751467921496
18,0.7600537260004785,bno085,-0.4921875,-0.90625,10.67578125,-0.294921875,-0.19921875,0.265625,-0.01727294921875,0.00201416015625,0.2586669921875,0.9658203125,0.11871378034006351,1.4512186965210199,4.35751467921496
19,0.8000541939982213,bno085,-0.1484375,-0.44921875,10.55859375,0.005859375,-0.419921875,-0.609375,-0.02581787109375,-0.00323486328125,0.262451171875,0.964599609375,-0.9758945559685975,1.119676247384694,4.8024697763044975
20,0.8400560320005752,bno085,0.3125,-0.06640625,9.75,0.005859375,-0.419921875,-0.609375,-0.03204345703125,-0.00921630859375,0.2554931640625,0.96624755859375,-1.8543868210494694,0.6464640464290258,3.980114296776679
21,0.8800552600005176,bno085,0.234375,-0.75390625,10.3203125,0.2890625,-0.251953125,-0.138671875,-0.01971435546875,-0.01458740234375,0.25042724609375,0.96783447265625,-0.6478033830696472,-0.3027017078488426,3.3604510257964777
22,0.9200540429992543,bno085,0.6953125,-0.48828125,11.015625,-0.29296875,-0.22265625,-0.01171875,-0.01983642578125,-0.0225830078125,0.25091552734375,0.967529296875,-0.8913183540203616,-1.1867908781360441,3.41617078150701
23,0.9600543250016926,bno085,0.7734375,-0.21875,10.6328125,-0.08203125,-0.29296875,-0.091796875,-0.01983642578125,-0.0225830078125,0.25091552734375,0.967529296875,-0.8913183540203616,-1.1867908781360441,3.41617078150701
24,1.0000542939997104,bno085,0.80859375,-0.71484375,10.67578125,0.25,-0.517578125,-0.1640625,-0.0201416015625,-0.0306396484375,0.25042724609375,0.96746826171875,-1.1568613928630402,-2.0716790094380158,3.364216639848566
25,1.0400538360008795,bno085,1.15625,-0.140625,10.78125,0.25,-0.517578125,-0.1640625,-0.01409912109375,-0.04156494140625,0.24945068359375,0.9674072265625,-0.79773287930566,-3.456593592432653,3.234049211653963
