elapsed_s,roll_deg,pitch_deg,yaw_deg,quat_i,quat_j,quat_k,quat_real,mag_x_uT,mag_y_uT,mag_z_uT
26.626,-0.051,0.018,-0.038,0.09784,0.01373,-0.12305,0.98749,-0.6875,7.1875,-32.4375
26.717,-0.037,0.020,-0.038,0.09796,0.01373,-0.12305,0.98749,-1.4375,8.0,-31.1875
26.811,-0.045,0.026,-0.039,0.09790,0.01379,-0.12305,0.98749,-0.0625,8.75,-31.125
26.899,-0.045,0.026,-0.039,0.09790,0.01379,-0.12305,0.98749,-0.0625,6.8125,-31.6875
26.990,-0.046,0.025,-0.045,0.09790,0.01379,-0.12311,0.98743,-0.3125,7.6875,-28.3125
27.081,-0.058,0.092,0.281,0.09790,0.01410,-0.12024,0.98779,-0.3125,7.625,-31.1875
27.173,-0.074,0.147,0.501,0.09784,0.01440,-0.11829,0.98804,-1.0625,7.5625,-32.8125
27.266,-0.081,0.146,0.502,0.09778,0.01440,-0.11829,0.98804,-1.0625,6.8125,-32.875
27.360,-0.000,0.000,0.000,0.09778,0.01447,-0.11835,0.98804,-0.75,8.6875,-32.0
27.458,0.007,0.001,-0.000,0.09784,0.01447,-0.11835,0.98804,-1.375,7.6875,-29.5625
27.548,0.007,0.001,-0.000,0.09784,0.01447,-0.11835,0.98804,-0.3125,6.125,-31.6875
27.639,0.001,-0.008,-0.006,0.09778,0.01440,-0.11841,0.98804,0.0,7.25,-29.5625
27.730,-0.007,-0.001,-0.007,0.09772,0.01447,-0.11841,0.98804,-0.0625,7.9375,-32.0
27.824,-0.007,-0.002,-0.014,0.09772,0.01447,-0.11847,0.98804,-1.4375,7.625,-31.6875
27.960,-0.006,-0.003,-0.021,0.09772,0.01447,-0.11853,0.98804,-1.0625,7.25,-30.4375
28.048,0.002,-0.009,-0.021,0.09778,0.01440,-0.11853,0.98804,-0.0625,8.3125,-31.625
28.138,0.009,-0.009,-0.028,0.09784,0.01440,-0.11859,0.98804,-0.3125,7.6875,-28.75
28.229,0.008,-0.009,-0.027,0.09784,0.01440,-0.11859,0.98798,-0.375,7.5625,-32.0625
28.318,0.008,-0.002,-0.035,0.09784,0.01447,-0.11865,0.98798,-0.375,8.375,-31.625
28.425,0.000,0.003,-0.043,0.09778,0.01453,-0.11871,0.98798,-0.0625,7.5625,-31.625
28.518,0.007,0.010,-0.050,0.09784,0.01459,-0.11877,0.98798,0.3125,8.375,-30.75
28.608,-0.000,0.000,0.000,0.09772,0.01459,-0.11877,0.98798,-0.375,7.5625,-32.0625
28.696,-0.000,0.000,0.000,0.09772,0.01459,-0.11877,0.98798,-0.375,8.0,-31.625
28.787,-0.007,-0.001,0.000,0.09766,0.01459,-0.11877,0.98798,-0.3125,5.875,-29.1875
