elapsed_s,roll_deg,pitch_deg,yaw_deg,quat_i,quat_j,quat_k,quat_real,mag_x_uT,mag_y_uT,mag_z_uT
6.846,-0.345,2.517,-7.530,0.12531,0.12097,-0.06146,0.98279,5.25,6.375,-33.125
6.943,4.832,3.986,-7.818,0.17010,0.13092,-0.06824,0.97430,5.6875,1.9375,-32.0
7.034,9.494,3.965,-7.506,0.20978,0.12775,-0.07080,0.96680,7.125,-1.125,-34.5625
7.129,19.689,2.348,-7.014,0.29468,0.10718,-0.07703,0.94647,6.8125,-4.0,-32.125
7.222,28.191,1.817,-6.292,0.36450,0.09735,-0.07800,0.92279,5.1875,-13.3125,-32.4375
7.317,36.705,0.018,-5.737,0.43225,0.07690,-0.07733,0.89514,5.9375,-20.0,-33.0625
7.412,45.179,-6.571,-3.117,0.49939,0.02155,-0.04590,0.86493,3.25,-26.9375,-28.75
7.508,51.102,-16.181,-2.620,0.54120,-0.05914,-0.01672,0.83868,-2.625,-29.375,-24.75
7.601,60.206,-34.258,-0.699,0.59467,-0.19824,0.06335,0.77655,-10.25,-31.0,-19.5625
7.693,82.436,-64.131,-8.749,0.63489,-0.41486,0.19000,0.62347,-27.6875,-19.8125,-1.3125
7.781,115.523,-75.096,-36.840,0.63397,-0.50964,0.23328,0.53290,-27.6875,-19.8125,-1.3125
7.873,-179.343,-75.227,-98.810,0.60913,-0.60284,0.26880,0.43970,-29.125,-6.8125,11.8125
7.963,-159.476,-71.143,-115.931,0.59882,-0.63507,0.29150,0.39130,-29.5625,0.5625,11.125
8.056,-154.963,-70.189,-119.645,0.59485,-0.64166,0.30005,0.37994,-29.625,3.25,12.0625
8.147,-158.256,-73.859,-117.919,0.59167,-0.62500,0.30060,0.41101,-29.25,2.4375,11.625
8.242,113.247,-82.529,-34.831,0.59491,-0.52979,0.28107,0.53516,-29.9375,-5.9375,2.3125
8.348,57.542,-52.962,10.045,0.58453,-0.31543,0.19012,0.72296,-28.1875,-15.125,-6.625
8.442,48.632,-40.802,-3.518,0.49603,-0.26282,0.03796,0.82666,-19.5,-22.6875,-20.25
8.540,39.201,-31.887,-5.277,0.43188,-0.19403,-0.01465,0.88068,-13.0625,-15.9375,-28.6875
8.629,27.627,-24.225,-1.524,0.35760,-0.12299,-0.01129,0.92566,-10.3125,-12.6875,-32.25
8.721,26.126,-18.889,-6.544,0.33710,-0.08051,-0.05969,0.93610,-6.4375,-13.4375,-29.75
8.812,24.193,-19.062,-19.847,0.28870,-0.08832,-0.17200,0.93768,-7.875,-12.0,-31.75
8.904,10.419,-10.523,-37.277,0.15320,0.01263,-0.32532,0.93304,-7.25,-6.0625,-32.875
8.996,-9.026,-16.293,-49.650,-0.04816,0.04297,-0.41968,0.90533,-6.3125,3.25,-31.3125
9.089,-27.842,-26.475,-46.306,-0.22424,0.02209,-0.40399,0.88660,-13.375,16.1875,-21.1875
9.179,-34.453,-28.368,-41.911,-0.27173,0.01471,-0.37714,0.88525,-14.8125,19.1875,-21.125
9.270,-41.108,-27.131,-29.010,-0.29370,-0.00659,-0.28552,0.91223,-14.0625,20.4375,-16.125
9.362,-56.072,-27.348,-10.325,-0.37207,-0.06311,-0.16449,0.91132,-12.0,24.0625,-16.375
9.455,-70.552,-25.579,7.071,-0.44403,-0.12921,-0.05603,0.88489,-10.5,28.8125,-8.0
9.593,-76.995,-25.915,18.406,-0.46149,-0.19446,0.00031,0.86560,-10.125,30.0,-3.8125
9.690,-81.046,-27.872,24.070,-0.47052,-0.23834,0.01202,0.84949,-10.4375,29.75,0.6875
9.787,-82.870,-28.129,25.470,-0.47882,-0.24811,0.01416,0.84198,-11.5,29.8125,0.6875
9.877,-83.727,-27.803,25.348,-0.48621,-0.24585,0.01385,0.83844,-10.8125,30.5,0.75
9.969,-84.039,-27.608,24.944,-0.49023,-0.24249,0.01233,0.83710,-11.125,30.9375,2.375
10.060,-83.703,-27.507,23.599,-0.49237,-0.23389,0.00641,0.83832,-10.8125,33.0625,0.375
10.155,-69.530,-23.766,11.954,-0.42523,-0.14551,-0.01392,0.89319,-10.4375,29.3125,-1.8125
10.245,-52.741,-13.910,-2.811,-0.32629,-0.00592,-0.04724,0.94409,-6.75,29.375,-11.25
10.337,-40.060,-6.626,-9.471,-0.22534,0.07190,-0.06787,0.96924,-0.75,22.75,-20.8125
10.427,-33.783,-4.377,-10.487,-0.17096,0.08954,-0.07178,0.97858,0.25,19.6875,-23.8125
10.519,-19.255,-4.837,-14.057,-0.05023,0.08490,-0.11298,0.98871,1.0,17.0625,-23.0
10.609,-6.388,-6.895,-18.669,0.05212,0.06146,-0.16345,0.98328,-1.4375,10.6875,-29.0
10.702,0.356,-4.231,-21.298,0.11029,0.07721,-0.18652,0.97321,-0.0625,6.125,-32.0
10.793,10.532,-5.685,-22.030,0.19275,0.04816,-0.19904,0.95966,0.375,1.1875,-34.625
10.887,28.547,-12.703,-24.954,0.32281,-0.04559,-0.21948,0.91956,-3.625,-16.25,-33.9375
10.976,40.473,-18.164,-27.546,0.39899,-0.11713,-0.22205,0.88190,-7.375,-24.25,-29.6875
11.067,61.507,-28.189,-31.587,0.51642,-0.24188,-0.18835,0.79956,-10.625,-29.5,-20.8125
11.158,74.051,-32.067,-33.978,0.58099,-0.29535,-0.15906,0.74158,-14.0625,-31.875,-12.1875
11.251,77.342,-33.405,-34.024,0.59802,-0.30865,-0.14410,0.72546,-15.75,-30.625,-8.9375
11.343,76.136,-32.051,-33.612,0.59589,-0.29681,-0.15118,0.73077,-16.0,-30.5625,-7.25
11.436,68.633,-24.696,-32.480,0.57080,-0.23138,-0.19482,0.76337,-11.5625,-33.5,-15.125
11.527,61.962,-18.946,-32.334,0.53986,-0.17694,-0.22943,0.79028,-7.5,-32.5625,-20.4375
11.617,39.358,-6.751,-33.097,0.40063,-0.03162,-0.29291,0.86755,-4.75,-27.8125,-21.9375
11.707,23.088,-5.380,-31.480,0.28009,0.02258,-0.28235,0.91724,0.1875,-15.5625,-34.25
11.800,16.625,-11.774,-30.266,0.21588,-0.01495,-0.26752,0.93896,-2.375,-4.0,-36.5
11.892,9.816,-11.632,-29.814,0.16101,0.00195,-0.26422,0.95093,-3.5625,3.0625,-36.6875
11.986,3.632,-15.808,-22.158,0.11694,-0.02618,-0.20251,0.97192,-5.3125,6.875,-32.0625
12.075,2.180,-14.707,-19.271,0.11261,-0.01721,-0.17822,0.97736,-3.1875,6.5,-31.625
12.166,0.277,-12.721,-15.192,0.10718,-0.00195,-0.14276,0.98395,-1.75,7.6875,-29.125
12.257,-1.135,-12.329,-14.065,0.09760,0.00177,-0.13293,0.98633,-2.125,8.75,-31.9375
12.350,-1.427,-12.130,-14.425,0.09467,0.00427,-0.13574,0.98621,-1.75,7.25,-32.0
12.442,-1.494,-12.033,-14.233,0.09454,0.00494,-0.13403,0.98645,-1.0625,7.5625,-32.8125
12.536,-1.475,-12.012,-14.207,0.09479,0.00507,-0.13379,0.98645,-1.75,7.625,-32.0625
12.623,-1.481,-11.999,-14.114,0.09491,0.00507,-0.13300,0.98657,-1.0625,7.625,-31.5625
12.714,-1.533,-11.937,-14.078,0.09460,0.00562,-0.13263,0.98663,-0.625,6.1875,-28.75
12.805,-1.520,-11.906,-14.024,0.09485,0.00580,-0.13214,0.98669,-1.0625,6.125,-31.625
12.898,-1.526,-11.885,-13.975,0.09491,0.00592,-0.13171,0.98669,-0.0625,7.5625,-32.4375
12.990,-1.513,-11.839,-13.966,0.09509,0.00629,-0.13159,0.98669,-0.6875,8.0,-30.8125
13.084,-1.520,-11.822,-13.940,0.09509,0.00641,-0.13135,0.98676,-0.6875,6.875,-30.8125
13.174,-1.500,-11.801,-13.913,0.09534,0.00653,-0.13110,0.98676,-0.6875,6.875,-31.625
13.265,-1.477,-11.769,-13.910,0.09558,0.00677,-0.13104,0.98676,-0.3125,8.75,-29.5
13.358,-1.466,-11.729,-13.886,0.09576,0.00708,-0.13080,0.98676,-0.6875,8.0,-30.375
13.451,-1.474,-11.689,-13.803,0.09589,0.00732,-0.13007,0.98682,-0.75,7.9375,-33.25
13.543,-1.471,-11.649,-13.773,0.09601,0.00763,-0.12976,0.98688,-0.6875,5.8125,-31.25
13.634,-1.472,-11.625,-13.754,0.09607,0.00781,-0.12958,0.98688,-0.6875,7.625,-31.5625
13.721,-1.469,-11.608,-13.741,0.09613,0.00793,-0.12946,0.98688,-0.375,7.1875,-32.8125
13.813,-1.468,-11.585,-13.729,0.09619,0.00812,-0.12933,0.98688,-0.3125,6.1875,-28.3125
13.903,-1.439,-11.551,-13.719,0.09650,0.00836,-0.12921,0.98688,-0.0625,6.875,-31.1875
13.997,-1.422,-11.533,-13.707,0.09668,0.00848,-0.12909,0.98688,-1.0625,6.0625,-32.875
14.088,-1.405,-11.522,-13.693,0.09686,0.00854,-0.12897,0.98688,-0.6875,6.4375,-32.875
14.181,-1.399,-11.490,-13.675,0.09698,0.00879,-0.12878,0.98688,-1.0625,7.625,-30.8125
14.270,-1.387,-11.480,-13.669,0.09711,0.00885,-0.12872,0.98688,-1.0625,6.0625,-32.5
14.362,-1.406,-11.454,-13.665,0.09698,0.00909,-0.12866,0.98688,0.375,6.875,-29.125
14.452,-1.403,-11.444,-13.652,0.09705,0.00916,-0.12854,0.98688,-1.0625,7.625,-32.0625
14.547,-1.401,-11.414,-13.642,0.09711,0.00940,-0.12842,0.98694,-0.6875,8.75,-31.5625
14.638,-1.404,-11.400,-13.636,0.09711,0.00952,-0.12836,0.98694,-0.6875,8.375,-31.5625
14.731,-1.401,-11.390,-13.623,0.09717,0.00958,-0.12823,0.98694,-0.6875,8.375,-31.1875
14.820,-1.411,-11.376,-13.617,0.09711,0.00970,-0.12817,0.98694,-0.6875,8.375,-31.1875
14.911,-1.406,-11.362,-13.619,0.09717,0.00983,-0.12817,0.98694,-0.6875,8.8125,-28.625
15.001,-1.411,-11.359,-13.597,0.09717,0.00983,-0.12799,0.98694,-1.0625,7.25,-31.1875
15.095,-1.407,-11.344,-13.592,0.09723,0.00995,-0.12793,0.98694,-1.0625,6.8125,-33.25
15.186,-1.405,-11.327,-13.579,0.09729,0.01007,-0.12781,0.98694,-1.4375,8.0,-31.1875
15.279,-1.393,-11.318,-13.573,0.09741,0.01013,-0.12775,0.98694,-1.375,7.25,-31.625
15.368,-1.393,-11.318,-13.573,0.09741,0.01013,-0.12775,0.98694,-1.0625,7.25,-31.1875
15.459,-1.386,-11.317,-13.573,0.09747,0.01013,-0.12775,0.98694,-0.6875,8.4375,-28.6875
15.550,-1.386,-11.310,-13.574,0.09747,0.01019,-0.12775,0.98694,-0.6875,6.5,-31.25
15.643,-1.379,-11.309,-13.574,0.09753,0.01019,-0.12775,0.98694,-1.0625,7.25,-31.625
15.779,-1.366,-11.300,-13.575,0.09766,0.01025,-0.12775,0.98694,-0.3125,7.3125,-28.3125
15.868,-1.357,-11.307,-13.582,0.09772,0.01019,-0.12781,0.98694,-0.375,7.625,-31.625
15.959,-1.337,-11.304,-13.575,0.09790,0.01019,-0.12775,0.98694,-0.6875,8.0625,-29.125
16.049,-1.339,-11.296,-13.569,0.09790,0.01025,-0.12769,0.98694,-0.6875,6.8125,-32.0625
16.139,-1.334,-11.294,-13.562,0.09796,0.01025,-0.12762,0.98694,-1.0625,6.875,-30.8125
16.230,-1.340,-11.289,-13.570,0.09790,0.01031,-0.12769,0.98694,-0.0625,6.5,-31.1875
16.318,-1.343,-11.274,-13.564,0.09790,0.01044,-0.12762,0.98694,-0.3125,6.125,-30.4375
16.408,-1.352,-11.274,-13.557,0.09784,0.01044,-0.12756,0.98694,0.0,8.4375,-28.625
16.500,-1.354,-11.274,-13.549,0.09784,0.01044,-0.12750,0.98694,0.3125,6.8125,-32.0625
16.592,-1.359,-11.275,-13.557,0.09778,0.01044,-0.12756,0.98694,-0.3125,5.8125,-31.25
16.683,-1.365,-11.283,-13.556,0.09772,0.01038,-0.12756,0.98694,0.3125,6.8125,-31.6875
16.776,-1.365,-11.283,-13.556,0.09772,0.01038,-0.12756,0.98694,0.3125,7.625,-29.5
16.866,-1.360,-11.281,-13.548,0.09778,0.01038,-0.12750,0.98694,-0.3125,6.125,-30.8125
16.955,-1.355,-11.280,-13.541,0.09784,0.01038,-0.12744,0.98694,-0.3125,7.25,-31.625
17.046,-1.347,-11.279,-13.541,0.09790,0.01038,-0.12744,0.98694,-0.3125,5.8125,-30.4375
17.136,-1.354,-11.267,-13.550,0.09784,0.01050,-0.12750,0.98694,-0.0625,7.1875,-31.625
17.228,-1.350,-11.271,-13.535,0.09790,0.01044,-0.12738,0.98694,-0.6875,5.75,-32.5
17.316,-1.363,-11.267,-13.543,0.09778,0.01050,-0.12744,0.98694,-0.0625,7.625,-31.1875
17.407,-1.372,-11.253,-13.538,0.09772,0.01062,-0.12738,0.98700,0.6875,8.0,-29.5
17.497,-1.381,-11.253,-13.531,0.09766,0.01062,-0.12732,0.98700,-0.0625,7.25,-31.1875
17.588,-1.382,-11.246,-13.532,0.09766,0.01068,-0.12732,0.98700,-0.0625,8.3125,-31.625
17.680,-1.390,-11.240,-13.533,0.09760,0.01074,-0.12732,0.98700,-0.0625,7.9375,-31.5625
17.776,-1.398,-11.240,-13.525,0.09753,0.01074,-0.12726,0.98700,0.3125,6.875,-29.9375
17.865,-1.405,-11.241,-13.525,0.09747,0.01074,-0.12726,0.98700,0.3125,6.5,-30.4375
17.956,-1.403,-11.249,-13.531,0.09747,0.01068,-0.12732,0.98700,1.0625,6.875,-28.75
18.046,-1.404,-11.242,-13.532,0.09747,0.01074,-0.12732,0.98700,0.6875,7.1875,-31.625
18.136,-1.396,-11.235,-13.541,0.09753,0.01080,-0.12738,0.98700,0.3125,7.1875,-31.625
18.226,-1.398,-11.227,-13.534,0.09753,0.01086,-0.12732,0.98700,-0.3125,6.8125,-32.0625
18.314,-1.392,-11.220,-13.535,0.09760,0.01093,-0.12732,0.98700,-0.0625,6.4375,-31.6875
18.405,-1.378,-11.211,-13.536,0.09772,0.01099,-0.12732,0.98700,0.375,7.3125,-28.3125
18.498,-1.365,-11.209,-13.536,0.09784,0.01099,-0.12732,0.98694,-0.6875,6.4375,-32.5
18.590,-1.357,-11.202,-13.544,0.09790,0.01105,-0.12738,0.98694,0.3125,6.8125,-31.5625
18.681,-1.343,-11.187,-13.553,0.09802,0.01117,-0.12744,0.98694,-0.3125,6.875,-30.8125
18.774,-1.329,-11.179,-13.554,0.09814,0.01123,-0.12744,0.98694,-1.0625,7.25,-31.1875
18.863,-1.330,-11.172,-13.555,0.09814,0.01129,-0.12744,0.98694,-1.0625,7.1875,-32.875
18.954,-1.345,-11.167,-13.556,0.09802,0.01135,-0.12744,0.98694,0.3125,6.875,-29.9375
19.044,-1.337,-11.160,-13.564,0.09808,0.01141,-0.12750,0.98694,0.3125,8.75,-31.125
19.134,-1.337,-11.154,-13.571,0.09808,0.01147,-0.12756,0.98688,-0.3125,6.4375,-32.0625
19.223,-1.333,-11.144,-13.559,0.09814,0.01154,-0.12744,0.98694,-0.3125,6.875,-30.8125
19.312,-1.334,-11.137,-13.559,0.09814,0.01160,-0.12744,0.98688,-0.0625,7.25,-30.8125
19.403,-1.324,-11.125,-13.582,0.09821,0.01172,-0.12762,0.98688,0.0,5.5,-28.3125
19.495,-1.317,-11.130,-13.574,0.09827,0.01166,-0.12756,0.98688,-0.0625,7.9375,-32.0
19.587,-1.339,-11.113,-13.584,0.09808,0.01184,-0.12762,0.98688,-0.3125,7.25,-31.625
19.678,-1.317,-11.118,-13.583,0.09827,0.01178,-0.12762,0.98688,0.0,6.875,-30.4375
19.771,-1.330,-11.113,-13.591,0.09814,0.01184,-0.12769,0.98688,-1.0625,8.0,-32.0625
19.860,-1.311,-11.123,-13.575,0.09833,0.01172,-0.12756,0.98688,-1.0625,7.25,-31.6875
19.951,-1.329,-11.114,-13.598,0.09814,0.01184,-0.12775,0.98688,-0.6875,7.3125,-28.75
20.042,-1.325,-11.112,-13.584,0.09821,0.01184,-0.12762,0.98688,-0.6875,7.9375,-32.0625
20.132,-1.322,-11.113,-13.599,0.09821,0.01184,-0.12775,0.98688,0.3125,7.5625,-31.625
20.222,-1.314,-11.119,-13.598,0.09827,0.01178,-0.12775,0.98688,-0.6875,7.1875,-32.4375
20.311,-1.314,-11.119,-13.598,0.09827,0.01178,-0.12775,0.98688,-0.75,9.0625,-32.0
20.401,-1.307,-11.118,-13.598,0.09833,0.01178,-0.12775,0.98688,-0.625,7.6875,-27.875
20.492,-1.292,-11.117,-13.605,0.09845,0.01178,-0.12781,0.98682,-1.4375,7.1875,-32.875
20.582,-1.284,-11.123,-13.604,0.09851,0.01172,-0.12781,0.98682,-1.0625,6.4375,-32.875
20.673,-1.290,-11.125,-13.611,0.09845,0.01172,-0.12787,0.98682,-0.375,6.8125,-32.4375
20.760,-1.275,-11.123,-13.611,0.09857,0.01172,-0.12787,0.98682,0.25,8.6875,-33.625
20.851,-1.334,-11.067,-13.321,0.09863,0.01190,-0.12537,0.98712,-0.6875,6.875,-30.4375
20.942,-1.348,-11.056,-13.330,0.09851,0.01202,-0.12543,0.98712,-0.6875,7.25,-31.625
21.032,-1.349,-11.055,-13.323,0.09851,0.01202,-0.12537,0.98712,-0.0625,6.4375,-32.4375
21.124,-1.363,-11.051,-13.331,0.09839,0.01208,-0.12543,0.98712,-0.3125,6.875,-31.1875
21.221,-1.363,-11.051,-13.331,0.09839,0.01208,-0.12543,0.98712,-0.6875,7.25,-31.1875
21.309,-1.369,-11.046,-13.339,0.09833,0.01215,-0.12549,0.98712,0.625,9.0625,-32.0
21.400,-1.370,-11.052,-13.331,0.09833,0.01208,-0.12543,0.98712,-0.6875,7.6875,-28.75
